Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Classroom Teachers,42.79,40.79,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Total enrollment,,,4.00,37.00,4.00,52.00,46.00,565.00,25.00,733.00,71.00,4.00
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Classroom Teachers,111.05,93.05,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Classroom teachers in their first year of teaching,19.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Teachers absent more than 10 days of the school year,33.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Teachers employed during current school year,116.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Teachers employed during both the current and previous school year,84.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Total enrollment,,,0.00,478.00,4.00,169.00,256.00,952.00,91.00,1950.00,176.00,34.00
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Classroom Teachers,54.34,51.34,,,,,,,,,,
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Teachers absent more than 10 days of the school year,33.00,,,,,,,,,,,
