Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,Classroom Teachers,34.00,34.00,,,,,,,,,,
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Whitfield County,GA,Dawnville Elementary School,130570001826,2015,Total enrollment,,,2.00,4.00,0.00,283.00,4.00,211.00,13.00,517.00,38.00,220.00
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,Classroom Teachers,59.39,59.39,,,,,,,,,,
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,Teachers absent more than 10 days of the school year,34.00,,,,,,,,,,,
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,Teachers employed during current school year,63.00,,,,,,,,,,,
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dalton City,GA,City Park Elementary School,130162002460,2015,Total enrollment,,,4.00,19.00,0.00,571.00,61.00,139.00,34.00,828.00,80.00,241.00
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,Classroom Teachers,44.50,44.50,,,,,,,,,,
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,Teachers absent more than 10 days of the school year,30.35,,,,,,,,,,,
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dalton City,GA,Brookwood Elementary School,130162000783,2015,Total enrollment,,,4.00,28.00,0.00,337.00,10.00,235.00,10.00,624.00,44.00,157.00
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,Classroom Teachers,35.75,35.75,,,,,,,,,,
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Whitfield County,GA,Antioch Elementary School,130570001833,2015,Total enrollment,,,4.00,4.00,0.00,319.00,7.00,190.00,10.00,534.00,101.00,226.00
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,Classroom Teachers,47.65,44.65,,,,,,,,,,
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,Teachers absent more than 10 days of the school year,12.15,,,,,,,,,,,
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,High-School Counselors,2.33,,,,,,,,,,,
GA,Whitfield County,GA,Coahulla Creek High School,130570004053,2015,Total enrollment,,,7.00,10.00,2.00,286.00,28.00,649.00,28.00,1010.00,92.00,55.00
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,Classroom Teachers,38.60,38.60,,,,,,,,,,
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,Teachers absent more than 10 days of the school year,29.00,,,,,,,,,,,
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dalton City,GA,Westwood Elementary School,130162000788,2015,Total enrollment,,,2.00,13.00,0.00,226.00,34.00,292.00,34.00,601.00,74.00,94.00
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,Classroom Teachers,41.50,41.50,,,,,,,,,,
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Whitfield County,GA,New Hope Elementary School,130570002450,2015,Total enrollment,,,0.00,13.00,0.00,202.00,7.00,382.00,31.00,635.00,62.00,136.00
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,Classroom Teachers,29.99,29.99,,,,,,,,,,
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,Classroom teachers in their second year of teaching,0.49,,,,,,,,,,,
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Whitfield County,GA,Beaverdale Elementary School,130570003684,2015,Total enrollment,,,0.00,4.00,0.00,49.00,0.00,328.00,22.00,403.00,83.00,31.00
GA,Whitfield County,GA,Southeast Whitfield County High School,130570001818,2015,Classroom Teachers,79.00,76.00,,,,,,,,,,
GA,Whitfield County,GA,Southeast Whitfield County High School,130570001818,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Whitfield County,GA,Southeast Whitfield County High School,130570001818,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
