Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,Classroom Teachers,30.24,29.24,,,,,,,,,,
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,Teachers absent more than 10 days of the school year,9.14,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,Teachers employed during both the current and previous school year,23.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Connally Elementary School,130012000147,2015,Total enrollment,,,0.00,0.00,0.00,2.00,370.00,0.00,4.00,376.00,53.00,0.00
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,Classroom Teachers,34.80,33.80,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,Teachers absent more than 10 days of the school year,20.46,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bethune Elementary School,130012000149,2015,Total enrollment,,,2.00,0.00,0.00,16.00,502.00,4.00,7.00,531.00,35.00,5.00
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,Classroom Teachers,51.00,51.00,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Bunche Middle School,130012000150,2015,Total enrollment,,,2.00,0.00,0.00,10.00,736.00,4.00,4.00,756.00,98.00,4.00
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,Classroom Teachers,104.35,100.83,,,,,,,,,,
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,Classroom teachers in their first year of teaching,4.51,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,Teachers absent more than 10 days of the school year,38.87,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,Teachers employed during current school year,110.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,Teachers employed during both the current and previous school year,87.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Mays High School,130012001865,2015,Total enrollment,,,0.00,4.00,0.00,37.00,1681.00,4.00,4.00,1730.00,200.00,22.00
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,Classroom Teachers,58.22,58.22,,,,,,,,,,
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,Teachers absent more than 10 days of the school year,27.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Young Middle School,130012001866,2015,Total enrollment,,,0.00,0.00,0.00,34.00,883.00,2.00,4.00,923.00,143.00,22.00
GA,Atlanta Public Schools,GA,Maynard H. Jackson- Jr. High School,130012001939,2015,Classroom Teachers,72.90,68.90,,,,,,,,,,
GA,Atlanta Public Schools,GA,Maynard H. Jackson- Jr. High School,130012001939,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Maynard H. Jackson- Jr. High School,130012001939,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Maynard H. Jackson- Jr. High School,130012001939,2015,Teachers absent more than 10 days of the school year,22.00,,,,,,,,,,,
GA,Atlanta Public Schools,GA,Maynard H. Jackson- Jr. High School,130012001939,2015,Teachers employed during current school year,73.00,,,,,,,,,,,
