Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Classroom Teachers,53.00,52.00,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Total enrollment,,,4.00,52.00,2.00,100.00,43.00,499.00,28.00,728.00,86.00,88.00
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Classroom Teachers,50.60,50.60,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Teachers absent more than 10 days of the school year,12.60,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Total enrollment,,,2.00,25.00,0.00,82.00,187.00,343.00,37.00,676.00,89.00,64.00
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Classroom Teachers,55.56,55.56,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Teachers absent more than 10 days of the school year,34.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Total enrollment,,,2.00,58.00,0.00,127.00,43.00,484.00,58.00,772.00,95.00,109.00

