Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Classroom Teachers,37.20,37.20,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Teachers absent more than 10 days of the school year,17.20,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,High-School Counselors,1.49,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Total enrollment,,,0.00,34.00,0.00,16.00,379.00,19.00,16.00,464.00,41.00,46.00
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Classroom Teachers,25.89,24.39,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Classroom teachers in their first year of teaching,0.89,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Total enrollment,,,0.00,7.00,0.00,7.00,247.00,121.00,10.00,392.00,17.00,2.00

