Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Classroom Teachers,63.19,63.19,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Teachers employed during current school year,65.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Total enrollment,,,4.00,4.00,0.00,145.00,514.00,70.00,19.00,756.00,116.00,58.00
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Classroom Teachers,54.47,53.47,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Classroom teachers in their first year of teaching,13.00,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Classroom teachers in their second year of teaching,1.50,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Teachers absent more than 10 days of the school year,6.50,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Total enrollment,,,0.00,7.00,0.00,190.00,418.00,64.00,22.00,701.00,95.00,124.00
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Classroom Teachers,38.98,37.98,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Total enrollment,,,0.00,4.00,2.00,127.00,334.00,73.00,31.00,571.00,59.00,73.00
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Classroom Teachers,54.00,52.00,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Classroom teachers in their first year of teaching,9.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Total enrollment,,,2.00,2.00,0.00,253.00,541.00,94.00,19.00,911.00,137.00,67.00
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Classroom Teachers,52.50,52.50,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Total enrollment,,,0.00,10.00,4.00,163.00,655.00,76.00,40.00,948.00,134.00,22.00
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Classroom Teachers,105.50,96.50,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Classroom teachers in their first year of teaching,10.50,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Teachers absent more than 10 days of the school year,28.00,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Teachers employed during current school year,106.00,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Teachers employed during both the current and previous school year,75.00,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Total enrollment,,,4.00,37.00,0.00,457.00,1324.00,163.00,43.00,2028.00,248.00,76.00

