Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,Classroom Teachers,27.27,27.27,,,,,,,,,,
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,Teachers absent more than 10 days of the school year,6.17,,,,,,,,,,,
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,Teachers employed during current school year,29.00,,,,,,,,,,,
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Appling County,GA,Altamaha Elementary School,130006000011,2015,Total enrollment,,,0.00,0.00,2.00,28.00,34.00,334.00,10.00,408.00,56.00,19.00
GA,Appling County,GA,Appling County Primary School,130006000006,2015,Classroom Teachers,55.17,55.17,,,,,,,,,,
GA,Appling County,GA,Appling County Primary School,130006000006,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Primary School,130006000006,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Primary School,130006000006,2015,Teachers absent more than 10 days of the school year,20.07,,,,,,,,,,,
GA,Appling County,GA,Appling County Primary School,130006000006,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Primary School,130006000006,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Primary School,130006000006,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Primary School,130006000006,2015,Total enrollment,,,0.00,4.00,0.00,163.00,202.00,328.00,28.00,725.00,134.00,115.00
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,Classroom Teachers,40.64,40.64,,,,,,,,,,
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,Teachers absent more than 10 days of the school year,16.11,,,,,,,,,,,
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Elementary School,130006000007,2015,Total enrollment,,,0.00,7.00,0.00,109.00,163.00,241.00,28.00,548.00,77.00,85.00
GA,Appling County,GA,Appling County High School,130006000010,2015,Classroom Teachers,61.59,59.59,,,,,,,,,,
GA,Appling County,GA,Appling County High School,130006000010,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Appling County,GA,Appling County High School,130006000010,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Appling County,GA,Appling County High School,130006000010,2015,Teachers absent more than 10 days of the school year,17.83,,,,,,,,,,,
GA,Appling County,GA,Appling County High School,130006000010,2015,Teachers employed during current school year,63.00,,,,,,,,,,,
GA,Appling County,GA,Appling County High School,130006000010,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Appling County,GA,Appling County High School,130006000010,2015,High-School Counselors,3.60,,,,,,,,,,,
GA,Appling County,GA,Appling County High School,130006000010,2015,Total enrollment,,,2.00,4.00,0.00,130.00,214.00,613.00,19.00,982.00,113.00,16.00
GA,Appling County,GA,Appling County Middle School,130006000009,2015,Classroom Teachers,52.17,52.17,,,,,,,,,,
GA,Appling County,GA,Appling County Middle School,130006000009,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Middle School,130006000009,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Middle School,130006000009,2015,Teachers absent more than 10 days of the school year,14.69,,,,,,,,,,,
GA,Appling County,GA,Appling County Middle School,130006000009,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Middle School,130006000009,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Appling County,GA,Appling County Middle School,130006000009,2015,High-School Counselors,0.87,,,,,,,,,,,
GA,Appling County,GA,Appling County Middle School,130006000009,2015,Total enrollment,,,2.00,4.00,0.00,94.00,148.00,481.00,25.00,754.00,92.00,13.00

