Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Union County,GA,Union County High School,130525001720,2015,Classroom Teachers,56.75,55.75,,,,,,,,,,
GA,Union County,GA,Union County High School,130525001720,2015,Classroom teachers in their first year of teaching,4.13,,,,,,,,,,,
GA,Union County,GA,Union County High School,130525001720,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Union County,GA,Union County High School,130525001720,2015,Teachers absent more than 10 days of the school year,8.24,,,,,,,,,,,
GA,Union County,GA,Union County High School,130525001720,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Union County,GA,Union County High School,130525001720,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Union County,GA,Union County High School,130525001720,2015,High-School Counselors,2.49,,,,,,,,,,,
GA,Union County,GA,Union County High School,130525001720,2015,Total enrollment,,,2.00,4.00,0.00,25.00,0.00,775.00,13.00,819.00,107.00,5.00
GA,Union County,GA,Union County Primary School,130525001719,2015,Classroom Teachers,47.49,47.49,,,,,,,,,,
GA,Union County,GA,Union County Primary School,130525001719,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Union County,GA,Union County Primary School,130525001719,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Union County,GA,Union County Primary School,130525001719,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Union County,GA,Union County Primary School,130525001719,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Union County,GA,Union County Primary School,130525001719,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Union County,GA,Union County Primary School,130525001719,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Union County,GA,Union County Primary School,130525001719,2015,Total enrollment,,,2.00,0.00,0.00,13.00,2.00,598.00,25.00,640.00,71.00,10.00
GA,Union County,GA,Union County Elementary School,130525002605,2015,Classroom Teachers,43.14,43.14,,,,,,,,,,
GA,Union County,GA,Union County Elementary School,130525002605,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Union County,GA,Union County Elementary School,130525002605,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Union County,GA,Union County Elementary School,130525002605,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Union County,GA,Union County Elementary School,130525002605,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Union County,GA,Union County Elementary School,130525002605,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Union County,GA,Union County Elementary School,130525002605,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Union County,GA,Union County Elementary School,130525002605,2015,Total enrollment,,,2.00,4.00,0.00,22.00,0.00,568.00,16.00,612.00,95.00,10.00
GA,Union County,GA,Union County Middle School,130525003456,2015,Classroom Teachers,40.55,40.55,,,,,,,,,,
GA,Union County,GA,Union County Middle School,130525003456,2015,Classroom teachers in their first year of teaching,2.62,,,,,,,,,,,
GA,Union County,GA,Union County Middle School,130525003456,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Union County,GA,Union County Middle School,130525003456,2015,Teachers absent more than 10 days of the school year,16.08,,,,,,,,,,,
GA,Union County,GA,Union County Middle School,130525003456,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Union County,GA,Union County Middle School,130525003456,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Union County,GA,Union County Middle School,130525003456,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Union County,GA,Union County Middle School,130525003456,2015,Total enrollment,,,2.00,7.00,0.00,16.00,2.00,583.00,16.00,626.00,101.00,7.00

