Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fannin County,GA,Fannin County High School,130210000912,2015,Classroom Teachers,59.62,59.62,,,,,,,,,,
GA,Fannin County,GA,Fannin County High School,130210000912,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County High School,130210000912,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County High School,130210000912,2015,Teachers absent more than 10 days of the school year,13.55,,,,,,,,,,,
GA,Fannin County,GA,Fannin County High School,130210000912,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County High School,130210000912,2015,Teachers employed during both the current and previous school year,55.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County High School,130210000912,2015,High-School Counselors,2.10,,,,,,,,,,,
GA,Fannin County,GA,Fannin County High School,130210000912,2015,Total enrollment,,,4.00,2.00,0.00,28.00,7.00,823.00,31.00,895.00,101.00,7.00
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,Classroom Teachers,35.35,35.35,,,,,,,,,,
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fannin County,GA,Blue Ridge Elementary School,130210000916,2015,Total enrollment,,,0.00,4.00,0.00,28.00,2.00,433.00,4.00,471.00,95.00,16.00
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,Classroom Teachers,53.54,53.54,,,,,,,,,,
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,Teachers absent more than 10 days of the school year,24.70,,,,,,,,,,,
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,High-School Counselors,1.05,,,,,,,,,,,
GA,Fannin County,GA,Fannin County Middle School,130210000067,2015,Total enrollment,,,0.00,2.00,0.00,31.00,4.00,673.00,16.00,726.00,92.00,7.00
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,Classroom Teachers,28.53,28.53,,,,,,,,,,
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fannin County,GA,West Fannin Elementary School,130210000156,2015,Total enrollment,,,2.00,0.00,4.00,22.00,2.00,433.00,4.00,467.00,32.00,10.00

