Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,Classroom Teachers,64.00,64.00,,,,,,,,,,
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,Teachers absent more than 10 days of the school year,32.74,,,,,,,,,,,
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,Teachers employed during both the current and previous school year,65.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Middle School,130288001677,2015,Total enrollment,,,2.00,10.00,2.00,73.00,256.00,625.00,40.00,1008.00,92.00,10.00
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,Classroom Teachers,51.00,51.00,,,,,,,,,,
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,Teachers absent more than 10 days of the school year,24.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Houston County,GA,Bonaire Elementary School,130288001218,2015,Total enrollment,,,2.00,13.00,0.00,70.00,118.00,574.00,37.00,814.00,83.00,10.00
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,Classroom Teachers,42.00,42.00,,,,,,,,,,
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,Classroom teachers in their second year of teaching,8.00,,,,,,,,,,,
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Houston County,GA,Hilltop Elementary School,130288003585,2015,Total enrollment,,,4.00,7.00,4.00,49.00,136.00,415.00,40.00,655.00,68.00,10.00

