Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,Classroom Teachers,45.88,44.88,,,,,,,,,,
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,Teachers absent more than 10 days of the school year,12.10,,,,,,,,,,,
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Glynn County,GA,Goodyear Elementary School,130240001063,2015,Total enrollment,,,2.00,0.00,2.00,79.00,418.00,61.00,22.00,584.00,83.00,67.00
GA,Glynn County,GA,Risley Middle School,130240004076,2015,Classroom Teachers,43.40,42.40,,,,,,,,,,
GA,Glynn County,GA,Risley Middle School,130240004076,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Glynn County,GA,Risley Middle School,130240004076,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Glynn County,GA,Risley Middle School,130240004076,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Glynn County,GA,Risley Middle School,130240004076,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Glynn County,GA,Risley Middle School,130240004076,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Glynn County,GA,Risley Middle School,130240004076,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Glynn County,GA,Risley Middle School,130240004076,2015,Total enrollment,,,0.00,5.00,0.00,43.00,232.00,325.00,22.00,627.00,113.00,13.00
GA,Glynn County,GA,Glynn Academy,130240001065,2015,Classroom Teachers,91.98,87.98,,,,,,,,,,
GA,Glynn County,GA,Glynn Academy,130240001065,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Glynn County,GA,Glynn Academy,130240001065,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Glynn County,GA,Glynn Academy,130240001065,2015,Teachers absent more than 10 days of the school year,21.00,,,,,,,,,,,
GA,Glynn County,GA,Glynn Academy,130240001065,2015,Teachers employed during current school year,95.00,,,,,,,,,,,
GA,Glynn County,GA,Glynn Academy,130240001065,2015,Teachers employed during both the current and previous school year,80.00,,,,,,,,,,,
GA,Glynn County,GA,Glynn Academy,130240001065,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Glynn County,GA,Glynn Academy,130240001065,2015,Total enrollment,,,4.00,28.00,2.00,142.00,493.00,1156.00,46.00,1871.00,185.00,40.00
