Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Classroom Teachers,32.10,32.10,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Teachers absent more than 10 days of the school year,9.75,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Total enrollment,,,2.00,4.00,2.00,16.00,7.00,373.00,25.00,429.00,68.00,4.00
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Classroom Teachers,35.31,35.31,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Teachers absent more than 10 days of the school year,16.25,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Total enrollment,,,4.00,2.00,0.00,16.00,13.00,409.00,19.00,463.00,65.00,4.00

