Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,Classroom Teachers,32.50,32.50,,,,,,,,,,
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Peach County,GA,Kay Road Elementary,130405002143,2015,Total enrollment,,,2.00,4.00,0.00,124.00,223.00,163.00,16.00,532.00,95.00,73.00
GA,Peach County,GA,Byron Elementary School,130405001481,2015,Classroom Teachers,35.98,35.98,,,,,,,,,,
GA,Peach County,GA,Byron Elementary School,130405001481,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Peach County,GA,Byron Elementary School,130405001481,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Peach County,GA,Byron Elementary School,130405001481,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Peach County,GA,Byron Elementary School,130405001481,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Peach County,GA,Byron Elementary School,130405001481,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Peach County,GA,Byron Elementary School,130405001481,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Peach County,GA,Byron Elementary School,130405001481,2015,Total enrollment,,,0.00,13.00,0.00,64.00,142.00,361.00,28.00,608.00,77.00,40.00
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,Classroom Teachers,49.00,49.00,,,,,,,,,,
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,Teachers absent more than 10 days of the school year,29.00,,,,,,,,,,,
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Houston County,GA,Eagle Springs Elementary,130288002330,2015,Total enrollment,,,2.00,49.00,4.00,85.00,241.00,334.00,52.00,767.00,71.00,73.00
GA,Peach County,GA,Byron Middle School,130405001807,2015,Classroom Teachers,29.27,29.27,,,,,,,,,,
GA,Peach County,GA,Byron Middle School,130405001807,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Peach County,GA,Byron Middle School,130405001807,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Peach County,GA,Byron Middle School,130405001807,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Peach County,GA,Byron Middle School,130405001807,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Peach County,GA,Byron Middle School,130405001807,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Peach County,GA,Byron Middle School,130405001807,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Peach County,GA,Byron Middle School,130405001807,2015,Total enrollment,,,4.00,4.00,0.00,28.00,103.00,223.00,13.00,375.00,56.00,4.00

