Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,Classroom Teachers,21.57,21.40,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,Classroom teachers in their first year of teaching,2.34,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,Teachers absent more than 10 days of the school year,11.08,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Primary School,130225000962,2015,Total enrollment,,,0.00,2.00,0.00,28.00,13.00,238.00,13.00,294.00,83.00,10.00
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,Classroom Teachers,55.31,54.31,,,,,,,,,,
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,Teachers absent more than 10 days of the school year,17.17,,,,,,,,,,,
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County Middle School,130225003358,2015,Total enrollment,,,2.00,10.00,0.00,49.00,97.00,664.00,19.00,841.00,110.00,7.00
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,Classroom Teachers,21.05,20.89,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,Classroom teachers in their first year of teaching,0.32,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,Teachers absent more than 10 days of the school year,8.58,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,Teachers employed during current school year,26.00,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Franklin County,GA,Carnesville Elementary Intermediate School,130225003359,2015,Total enrollment,,,2.00,4.00,0.00,13.00,10.00,241.00,13.00,283.00,44.00,13.00
GA,Franklin County,GA,Franklin County High School,130225000961,2015,Classroom Teachers,63.77,62.77,,,,,,,,,,
GA,Franklin County,GA,Franklin County High School,130225000961,2015,Classroom teachers in their first year of teaching,2.06,,,,,,,,,,,
GA,Franklin County,GA,Franklin County High School,130225000961,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County High School,130225000961,2015,Teachers absent more than 10 days of the school year,33.26,,,,,,,,,,,
GA,Franklin County,GA,Franklin County High School,130225000961,2015,Teachers employed during current school year,65.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County High School,130225000961,2015,Teachers employed during both the current and previous school year,60.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County High School,130225000961,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Franklin County,GA,Franklin County High School,130225000961,2015,Total enrollment,,,4.00,7.00,0.00,67.00,100.00,904.00,28.00,1110.00,131.00,13.00

