Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Classroom Teachers,101.85,101.85,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Classroom teachers in their first year of teaching,12.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Teachers absent more than 10 days of the school year,26.70,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Teachers employed during current school year,104.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Teachers employed during both the current and previous school year,86.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,High-School Counselors,3.10,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Total enrollment,,,4.00,28.00,2.00,358.00,568.00,535.00,91.00,1586.00,173.00,139.00
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Classroom Teachers,42.06,42.06,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Teachers absent more than 10 days of the school year,24.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Total enrollment,,,2.00,2.00,0.00,112.00,70.00,490.00,52.00,728.00,86.00,61.00
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Classroom Teachers,45.39,43.39,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,High-School Counselors,1.05,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Total enrollment,,,4.00,10.00,0.00,133.00,226.00,373.00,37.00,783.00,83.00,28.00
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Classroom Teachers,61.09,60.09,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Teachers absent more than 10 days of the school year,11.03,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Total enrollment,,,5.00,13.00,0.00,232.00,328.00,460.00,49.00,1087.00,146.00,82.00
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,Classroom Teachers,36.22,36.22,,,,,,,,,,
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,Teachers absent more than 10 days of the school year,8.16,,,,,,,,,,,
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Sharp Creek Elementary School,130084002299,2015,Total enrollment,,,7.00,0.00,0.00,73.00,130.00,316.00,43.00,569.00,83.00,37.00
GA,Carroll County,GA,Central Middle School,130084000321,2015,Classroom Teachers,56.34,56.34,,,,,,,,,,
GA,Carroll County,GA,Central Middle School,130084000321,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Carroll County,GA,Central Middle School,130084000321,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Carroll County,GA,Central Middle School,130084000321,2015,Teachers absent more than 10 days of the school year,24.00,,,,,,,,,,,
GA,Carroll County,GA,Central Middle School,130084000321,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Carroll County,GA,Central Middle School,130084000321,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Carroll County,GA,Central Middle School,130084000321,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Carroll County,GA,Central Middle School,130084000321,2015,Total enrollment,,,2.00,2.00,0.00,76.00,91.00,631.00,40.00,842.00,170.00,13.00
GA,Carroll County,GA,Central Elementary School,130084000326,2015,Classroom Teachers,68.67,68.67,,,,,,,,,,
GA,Carroll County,GA,Central Elementary School,130084000326,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Carroll County,GA,Central Elementary School,130084000326,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Central Elementary School,130084000326,2015,Teachers absent more than 10 days of the school year,19.17,,,,,,,,,,,
GA,Carroll County,GA,Central Elementary School,130084000326,2015,Teachers employed during current school year,72.00,,,,,,,,,,,
GA,Carroll County,GA,Central Elementary School,130084000326,2015,Teachers employed during both the current and previous school year,55.00,,,,,,,,,,,
GA,Carroll County,GA,Central Elementary School,130084000326,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Carroll County,GA,Central Elementary School,130084000326,2015,Total enrollment,,,2.00,2.00,0.00,124.00,136.00,676.00,52.00,992.00,188.00,61.00
GA,Carroll County,GA,Central High School,130084000331,2015,Classroom Teachers,63.32,59.98,,,,,,,,,,
GA,Carroll County,GA,Central High School,130084000331,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Carroll County,GA,Central High School,130084000331,2015,Classroom teachers in their second year of teaching,2.34,,,,,,,,,,,
GA,Carroll County,GA,Central High School,130084000331,2015,Teachers absent more than 10 days of the school year,23.04,,,,,,,,,,,
GA,Carroll County,GA,Central High School,130084000331,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Carroll County,GA,Central High School,130084000331,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Carroll County,GA,Central High School,130084000331,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Carroll County,GA,Central High School,130084000331,2015,Total enrollment,,,0.00,4.00,0.00,82.00,160.00,862.00,61.00,1169.00,164.00,28.00
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,Classroom Teachers,47.07,47.07,,,,,,,,,,
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,Teachers absent more than 10 days of the school year,9.17,,,,,,,,,,,
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Sand Hill Elementary School,130084000325,2015,Total enrollment,,,0.00,2.00,2.00,70.00,127.00,523.00,46.00,770.00,101.00,31.00
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,Classroom Teachers,80.50,76.50,,,,,,,,,,
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,Classroom teachers in their first year of teaching,9.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,Teachers employed during current school year,83.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,Teachers employed during both the current and previous school year,66.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton High School,130087000334,2015,Total enrollment,,,4.00,19.00,0.00,217.00,427.00,727.00,88.00,1482.00,122.00,70.00
GA,Carroll County,GA,GOAL Program,130084004101,2015,Classroom Teachers,4.00,4.00,,,,,,,,,,
GA,Carroll County,GA,GOAL Program,130084004101,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,GOAL Program,130084004101,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,GOAL Program,130084004101,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Carroll County,GA,GOAL Program,130084004101,2015,Teachers employed during current school year,4.00,,,,,,,,,,,
GA,Carroll County,GA,GOAL Program,130084004101,2015,Teachers employed during both the current and previous school year,4.00,,,,,,,,,,,
GA,Carroll County,GA,GOAL Program,130084004101,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,GOAL Program,130084004101,2015,Total enrollment,,,0.00,0.00,0.00,0.00,16.00,34.00,4.00,54.00,10.00,0.00
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,Classroom Teachers,23.24,21.24,,,,,,,,,,
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,Classroom teachers in their first year of teaching,2.67,,,,,,,,,,,
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,Teachers absent more than 10 days of the school year,5.24,,,,,,,,,,,
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Mt. Zion High School,130084003582,2015,Total enrollment,,,4.00,0.00,0.00,34.00,55.00,301.00,28.00,422.00,53.00,7.00

