Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,Classroom Teachers,31.18,31.18,,,,,,,,,,
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,Classroom teachers in their first year of teaching,0.49,,,,,,,,,,,
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,Teachers absent more than 10 days of the school year,5.99,,,,,,,,,,,
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Hickory Flat Elementary School,130111000435,2015,Total enrollment,,,2.00,4.00,2.00,31.00,19.00,448.00,16.00,522.00,50.00,16.00
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,Classroom Teachers,43.18,43.18,,,,,,,,,,
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Cherokee County,GA,Sixes Elementary School,130111000114,2015,Total enrollment,,,0.00,7.00,0.00,49.00,31.00,631.00,16.00,734.00,116.00,10.00
GA,Cherokee County,GA,Creekview High School,130111003308,2015,Classroom Teachers,104.93,104.93,,,,,,,,,,
GA,Cherokee County,GA,Creekview High School,130111003308,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekview High School,130111003308,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekview High School,130111003308,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekview High School,130111003308,2015,Teachers employed during current school year,105.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekview High School,130111003308,2015,Teachers employed during both the current and previous school year,92.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekview High School,130111003308,2015,High-School Counselors,3.50,,,,,,,,,,,
GA,Cherokee County,GA,Creekview High School,130111003308,2015,Total enrollment,,,2.00,16.00,2.00,127.00,49.00,1645.00,37.00,1878.00,194.00,7.00
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,Classroom Teachers,21.03,21.03,,,,,,,,,,
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,Teachers absent more than 10 days of the school year,5.03,,,,,,,,,,,
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,Teachers employed during current school year,23.00,,,,,,,,,,,
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Free Home Elementary School,130111000438,2015,Total enrollment,,,0.00,0.00,0.00,34.00,4.00,256.00,7.00,301.00,35.00,19.00
GA,Cherokee County,GA,ACE Academy,130111002690,2015,Classroom Teachers,28.00,28.00,,,,,,,,,,
GA,Cherokee County,GA,ACE Academy,130111002690,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,ACE Academy,130111002690,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,ACE Academy,130111002690,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Cherokee County,GA,ACE Academy,130111002690,2015,Teachers employed during current school year,26.00,,,,,,,,,,,
GA,Cherokee County,GA,ACE Academy,130111002690,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Cherokee County,GA,ACE Academy,130111002690,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cherokee County,GA,ACE Academy,130111002690,2015,Total enrollment,,,0.00,0.00,0.00,58.00,40.00,148.00,7.00,253.00,26.00,13.00
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,Classroom Teachers,14.00,14.00,,,,,,,,,,
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,Teachers employed during current school year,13.00,,,,,,,,,,,
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,Teachers employed during both the current and previous school year,11.00,,,,,,,,,,,
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cherokee County,GA,L.R.Tippens Educational Center,130111002830,2015,Total enrollment,,,0.00,0.00,0.00,7.00,7.00,40.00,2.00,56.00,56.00,0.00
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,Classroom Teachers,89.00,89.00,,,,,,,,,,
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,Classroom teachers in their first year of teaching,11.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,Teachers absent more than 10 days of the school year,31.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,Teachers employed during current school year,89.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,Teachers employed during both the current and previous school year,72.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Cherokee County,GA,Creekland Middle School,130111003312,2015,Total enrollment,,,2.00,16.00,0.00,103.00,28.00,1282.00,25.00,1456.00,167.00,16.00
