Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Classroom Teachers,37.14,37.14,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Teachers absent more than 10 days of the school year,10.75,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Total enrollment,,,0.00,7.00,4.00,124.00,280.00,79.00,31.00,525.00,53.00,127.00
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Classroom Teachers,30.35,30.35,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Teachers absent more than 10 days of the school year,6.86,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Total enrollment,,,0.00,4.00,2.00,121.00,226.00,64.00,19.00,436.00,38.00,121.00
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Classroom Teachers,86.10,82.04,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Teachers absent more than 10 days of the school year,39.52,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Teachers employed during current school year,91.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Teachers employed during both the current and previous school year,72.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Total enrollment,,,2.00,7.00,7.00,355.00,835.00,313.00,46.00,1565.00,182.00,73.00
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Classroom Teachers,37.20,37.20,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Teachers absent more than 10 days of the school year,6.20,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Total enrollment,,,0.00,4.00,2.00,220.00,169.00,127.00,16.00,538.00,74.00,193.00
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Classroom Teachers,46.00,46.00,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Total enrollment,,,2.00,13.00,10.00,256.00,355.00,124.00,19.00,779.00,116.00,61.00
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Classroom Teachers,49.62,49.62,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Total enrollment,,,2.00,7.00,0.00,82.00,445.00,121.00,31.00,688.00,98.00,31.00

