Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Classroom Teachers,36.00,36.00,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Total enrollment,,,0.00,4.00,0.00,250.00,58.00,139.00,22.00,473.00,71.00,115.00
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Classroom Teachers,7.50,6.50,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Teachers employed during current school year,8.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Teachers employed during both the current and previous school year,6.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Total enrollment,,,0.00,0.00,0.00,4.00,13.00,22.00,2.00,41.00,20.00,0.00
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Classroom Teachers,62.84,60.84,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Teachers absent more than 10 days of the school year,36.70,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Total enrollment,,,2.00,7.00,0.00,313.00,148.00,493.00,31.00,994.00,149.00,46.00
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Classroom Teachers,41.50,41.50,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Teachers absent more than 10 days of the school year,27.50,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Total enrollment,,,2.00,7.00,0.00,262.00,52.00,298.00,43.00,664.00,77.00,154.00
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Classroom Teachers,42.50,42.50,,,,,,,,,,
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Teachers absent more than 10 days of the school year,26.50,,,,,,,,,,,
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Total enrollment,,,4.00,2.00,0.00,178.00,94.00,292.00,19.00,589.00,68.00,85.00
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,Classroom Teachers,40.99,40.99,,,,,,,,,,
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,Teachers absent more than 10 days of the school year,25.50,,,,,,,,,,,
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Youngs Grove Elementary School,130420004001,2015,Total enrollment,,,4.00,0.00,0.00,169.00,43.00,373.00,19.00,608.00,89.00,82.00
GA,Polk School District,GA,Cedartown High School,130420001510,2015,Classroom Teachers,67.14,63.89,,,,,,,,,,
GA,Polk School District,GA,Cedartown High School,130420001510,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown High School,130420001510,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown High School,130420001510,2015,Teachers absent more than 10 days of the school year,24.89,,,,,,,,,,,
GA,Polk School District,GA,Cedartown High School,130420001510,2015,Teachers employed during current school year,68.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown High School,130420001510,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown High School,130420001510,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown High School,130420001510,2015,Total enrollment,,,7.00,5.00,0.00,304.00,142.00,664.00,25.00,1147.00,131.00,37.00

