Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,Classroom Teachers,52.50,52.50,,,,,,,,,,
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Murray County,GA,Woodlawn Elementary School,130384003434,2015,Total enrollment,,,2.00,0.00,0.00,220.00,0.00,589.00,10.00,821.00,68.00,142.00
GA,Murray County,GA,Coker Elementary School,130384001012,2015,Classroom Teachers,47.50,47.50,,,,,,,,,,
GA,Murray County,GA,Coker Elementary School,130384001012,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Murray County,GA,Coker Elementary School,130384001012,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Murray County,GA,Coker Elementary School,130384001012,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Murray County,GA,Coker Elementary School,130384001012,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Murray County,GA,Coker Elementary School,130384001012,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Murray County,GA,Coker Elementary School,130384001012,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Murray County,GA,Coker Elementary School,130384001012,2015,Total enrollment,,,2.00,2.00,0.00,61.00,2.00,727.00,4.00,798.00,74.00,22.00
GA,Murray County,GA,Murray County High School,130384001381,2015,Classroom Teachers,58.87,58.87,,,,,,,,,,
GA,Murray County,GA,Murray County High School,130384001381,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Murray County,GA,Murray County High School,130384001381,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Murray County,GA,Murray County High School,130384001381,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Murray County,GA,Murray County High School,130384001381,2015,Teachers employed during current school year,60.00,,,,,,,,,,,
GA,Murray County,GA,Murray County High School,130384001381,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Murray County,GA,Murray County High School,130384001381,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Murray County,GA,Murray County High School,130384001381,2015,Total enrollment,,,2.00,4.00,0.00,223.00,2.00,736.00,16.00,983.00,86.00,55.00
