Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,Classroom Teachers,15.00,15.00,,,,,,,,,,
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,Teachers employed during current school year,17.00,,,,,,,,,,,
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,Teachers employed during both the current and previous school year,13.00,,,,,,,,,,,
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Habersham County,GA,Woodville Elementary School,130258001152,2015,Total enrollment,,,0.00,0.00,0.00,16.00,2.00,172.00,7.00,197.00,26.00,7.00
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,Classroom Teachers,30.14,30.14,,,,,,,,,,
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,Clarkesville Elementary School,130258002042,2015,Total enrollment,,,0.00,4.00,0.00,40.00,10.00,373.00,7.00,434.00,71.00,31.00
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,Classroom Teachers,41.05,41.05,,,,,,,,,,
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,North Habersham Middle School,130258001147,2015,Total enrollment,,,2.00,4.00,0.00,49.00,4.00,475.00,10.00,544.00,98.00,31.00

