Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,Classroom Teachers,1.64,1.64,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,Teachers absent more than 10 days of the school year,1.20,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,Teachers employed during current school year,4.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,Teachers employed during both the current and previous school year,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Success Academy,130044004162,2015,Total enrollment,,,0.00,0.00,0.00,4.00,19.00,37.00,2.00,62.00,14.00,0.00
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,Classroom Teachers,36.42,36.42,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Elementary School,130044001920,2015,Total enrollment,,,0.00,10.00,0.00,16.00,148.00,334.00,19.00,527.00,83.00,7.00
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,Classroom Teachers,8.00,8.00,,,,,,,,,,
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,Teachers employed during current school year,8.00,,,,,,,,,,,
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,Teachers employed during both the current and previous school year,8.00,,,,,,,,,,,
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Bleckley County,GA,BLECKLEY COUNTY LEARNING CENTER,130044003524,2015,Total enrollment,,,0.00,2.00,0.00,4.00,34.00,103.00,10.00,153.00,23.00,0.00
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,Classroom Teachers,38.43,38.43,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County Primary School,130044000256,2015,Total enrollment,,,0.00,4.00,0.00,16.00,205.00,487.00,28.00,740.00,104.00,4.00
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,Classroom Teachers,40.98,40.98,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,Teachers absent more than 10 days of the school year,9.68,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley County High School,130044000253,2015,Total enrollment,,,0.00,7.00,0.00,13.00,154.00,478.00,10.00,662.00,86.00,2.00
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,Classroom Teachers,36.38,36.38,,,,,,,,,,
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bleckley County,GA,Bleckley Middle School,130044000254,2015,Total enrollment,,,0.00,7.00,0.00,16.00,133.00,361.00,16.00,533.00,86.00,2.00

