Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,Classroom Teachers,43.58,43.58,,,,,,,,,,
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,Classroom teachers in their first year of teaching,2.25,,,,,,,,,,,
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,Teachers absent more than 10 days of the school year,13.33,,,,,,,,,,,
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Oconee County,GA,Rocky Branch Elementary School,130396002587,2015,Total enrollment,,,0.00,28.00,2.00,43.00,22.00,598.00,34.00,727.00,71.00,25.00
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,Classroom Teachers,31.00,31.00,,,,,,,,,,
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,Teachers absent more than 10 days of the school year,22.00,,,,,,,,,,,
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,Teachers employed during current school year,28.00,,,,,,,,,,,
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clarke County,GA,Cleveland Road Elementary School,130117002102,2015,Total enrollment,,,0.00,8.00,0.00,103.00,130.00,64.00,16.00,321.00,47.00,91.00
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,Classroom Teachers,37.67,37.67,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,Teachers absent more than 10 days of the school year,11.67,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Elementary School,130396001765,2015,Total enrollment,,,2.00,52.00,2.00,31.00,16.00,448.00,22.00,573.00,62.00,31.00
GA,Oconee County,GA,Malcom Bridge Middle School,130396002225,2015,Classroom Teachers,54.03,54.03,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Middle School,130396002225,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Middle School,130396002225,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Middle School,130396002225,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Oconee County,GA,Malcom Bridge Middle School,130396002225,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
