Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,Classroom Teachers,11.12,10.12,,,,,,,,,,
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,Classroom teachers in their first year of teaching,1.98,,,,,,,,,,,
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,Teachers absent more than 10 days of the school year,1.11,,,,,,,,,,,
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,Teachers employed during current school year,16.00,,,,,,,,,,,
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,Teachers employed during both the current and previous school year,13.00,,,,,,,,,,,
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,High-School Counselors,0.40,,,,,,,,,,,
GA,Tattnall County,GA,Collins Middle School,130477002436,2015,Total enrollment,,,0.00,0.00,0.00,16.00,28.00,82.00,4.00,130.00,14.00,2.00
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,Classroom Teachers,20.52,20.52,,,,,,,,,,
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,Teachers absent more than 10 days of the school year,2.39,,,,,,,,,,,
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,High-School Counselors,0.60,,,,,,,,,,,
GA,Tattnall County,GA,Collins Elementary School,130477002435,2015,Total enrollment,,,0.00,0.00,0.00,49.00,49.00,193.00,4.00,295.00,35.00,19.00

