Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,Classroom Teachers,52.00,52.00,,,,,,,,,,
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Middle School,130294001683,2015,Total enrollment,,,2.00,16.00,0.00,127.00,55.00,574.00,25.00,799.00,128.00,28.00
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,Classroom Teachers,31.14,30.14,,,,,,,,,,
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,Teachers absent more than 10 days of the school year,3.73,,,,,,,,,,,
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,Teachers employed during both the current and previous school year,25.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Middle School,130144000623,2015,Total enrollment,,,0.00,4.00,0.00,46.00,52.00,346.00,28.00,476.00,74.00,16.00
GA,Commerce City,GA,Commerce High School,130144000622,2015,Classroom Teachers,29.04,27.54,,,,,,,,,,
GA,Commerce City,GA,Commerce High School,130144000622,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce High School,130144000622,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce High School,130144000622,2015,Teachers absent more than 10 days of the school year,1.33,,,,,,,,,,,
GA,Commerce City,GA,Commerce High School,130144000622,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce High School,130144000622,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce High School,130144000622,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce High School,130144000622,2015,Total enrollment,,,0.00,7.00,0.00,46.00,61.00,307.00,16.00,437.00,53.00,13.00
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,Classroom Teachers,62.80,60.80,,,,,,,,,,
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,Teachers absent more than 10 days of the school year,13.80,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Comprehensive High School,130294003421,2015,Total enrollment,,,2.00,16.00,0.00,130.00,64.00,700.00,37.00,949.00,131.00,25.00
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,Classroom Teachers,16.43,15.43,,,,,,,,,,
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,Teachers employed during current school year,22.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,Teachers employed during both the current and previous school year,17.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Commerce City,GA,Commerce Elementary School,130144000621,2015,Total enrollment,,,0.00,2.00,0.00,25.00,25.00,160.00,16.00,228.00,32.00,13.00
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,Classroom Teachers,32.48,32.48,,,,,,,,,,
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,Teachers absent more than 10 days of the school year,7.99,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,High-School Counselors,0.49,,,,,,,,,,,
GA,Jackson County,GA,East Jackson Elementary School,130294002924,2015,Total enrollment,,,0.00,2.00,0.00,52.00,40.00,370.00,19.00,483.00,92.00,31.00
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,Classroom Teachers,26.81,26.81,,,,,,,,,,
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,Teachers absent more than 10 days of the school year,5.40,,,,,,,,,,,
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Commerce City,GA,Commerce Primary School,130144003617,2015,Total enrollment,,,0.00,4.00,0.00,52.00,46.00,274.00,28.00,404.00,41.00,34.00

