Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Classroom Teachers,48.00,47.00,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Total enrollment,,,2.00,10.00,2.00,70.00,373.00,190.00,22.00,669.00,68.00,49.00
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Classroom Teachers,66.13,60.13,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Teachers absent more than 10 days of the school year,25.38,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Teachers employed during current school year,67.00,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Total enrollment,,,0.00,10.00,2.00,148.00,547.00,124.00,31.00,862.00,128.00,19.00
GA,Rockdale County,GA,Salem High School,130441002193,2015,Classroom Teachers,71.55,64.55,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Teachers absent more than 10 days of the school year,39.55,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Teachers employed during current school year,72.00,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Total enrollment,,,2.00,19.00,2.00,76.00,934.00,79.00,28.00,1140.00,119.00,19.00
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,Classroom Teachers,70.80,70.80,,,,,,,,,,
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,Teachers employed during current school year,71.00,,,,,,,,,,,
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,Teachers employed during both the current and previous school year,56.00,,,,,,,,,,,
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Rockdale County,GA,Hicks Elementary School,130441001582,2015,Total enrollment,,,0.00,13.00,2.00,190.00,733.00,55.00,28.00,1021.00,104.00,79.00
GA,Rockdale County,GA,Heritage High School,130441001591,2015,Classroom Teachers,92.27,83.27,,,,,,,,,,
GA,Rockdale County,GA,Heritage High School,130441001591,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Heritage High School,130441001591,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Heritage High School,130441001591,2015,Teachers absent more than 10 days of the school year,39.60,,,,,,,,,,,
GA,Rockdale County,GA,Heritage High School,130441001591,2015,Teachers employed during current school year,93.00,,,,,,,,,,,
GA,Rockdale County,GA,Heritage High School,130441001591,2015,Teachers employed during both the current and previous school year,70.00,,,,,,,,,,,
GA,Rockdale County,GA,Heritage High School,130441001591,2015,High-School Counselors,4.00,,,,,,,,,,,
