Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,Classroom Teachers,40.00,40.00,,,,,,,,,,
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,Level Grove Elementary School,130258003401,2015,Total enrollment,,,2.00,10.00,0.00,172.00,7.00,391.00,13.00,595.00,134.00,130.00
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,Classroom Teachers,47.49,47.49,,,,,,,,,,
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,Cornelia Elementary School,130258001153,2015,Total enrollment,,,0.00,28.00,0.00,358.00,28.00,199.00,19.00,632.00,104.00,313.00
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,Classroom Teachers,37.26,37.26,,,,,,,,,,
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,South Habersham Middle School,130258001154,2015,Total enrollment,,,2.00,13.00,0.00,211.00,16.00,268.00,10.00,520.00,89.00,130.00

