Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,Classroom Teachers,22.93,21.93,,,,,,,,,,
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,Teachers absent more than 10 days of the school year,6.93,,,,,,,,,,,
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,Teachers employed during current school year,23.00,,,,,,,,,,,
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Taliaferro County,GA,Taliaferro County School,130468002514,2015,Total enrollment,,,0.00,0.00,0.00,10.00,142.00,7.00,7.00,166.00,23.00,4.00
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,Classroom Teachers,41.18,41.18,,,,,,,,,,
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,High-School Counselors,1.11,,,,,,,,,,,
GA,Oglethorpe County,GA,Oglethorpe County Middle School,130399001467,2015,Total enrollment,,,0.00,10.00,0.00,31.00,85.00,385.00,19.00,530.00,65.00,10.00

