Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Classroom Teachers,58.95,58.95,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Teachers absent more than 10 days of the school year,21.95,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Total enrollment,,,7.00,25.00,2.00,118.00,31.00,799.00,34.00,1016.00,155.00,13.00
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,Classroom Teachers,7.00,7.00,,,,,,,,,,
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,Teachers employed during current school year,7.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,Teachers employed during both the current and previous school year,7.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,High-School Counselors,0.39,,,,,,,,,,,
GA,Forsyth County Schools,GA,Gateway Academy,130222004009,2015,Total enrollment,,,0.00,2.00,0.00,25.00,7.00,64.00,4.00,102.00,29.00,7.00
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,Classroom Teachers,9.50,9.50,,,,,,,,,,
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,Teachers employed during current school year,9.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,Teachers employed during both the current and previous school year,9.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,High-School Counselors,0.39,,,,,,,,,,,
GA,Forsyth County Schools,GA,Forsyth Academy,130222003840,2015,Total enrollment,,,0.00,2.00,0.00,37.00,4.00,265.00,4.00,312.00,29.00,0.00
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,Classroom Teachers,45.00,45.00,,,,,,,,,,
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Coal Mountain Elementary School,130222001895,2015,Total enrollment,,,2.00,19.00,0.00,61.00,52.00,502.00,16.00,652.00,83.00,49.00
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,Classroom Teachers,81.25,80.25,,,,,,,,,,
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,Teachers absent more than 10 days of the school year,36.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,Teachers employed during current school year,82.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,Teachers employed during both the current and previous school year,71.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Piney Grove Middle School,130222003357,2015,Total enrollment,,,2.00,349.00,0.00,244.00,85.00,718.00,37.00,1435.00,143.00,73.00
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,Classroom Teachers,77.00,77.00,,,,,,,,,,
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,Teachers absent more than 10 days of the school year,24.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,Teachers employed during current school year,77.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,Teachers employed during both the current and previous school year,66.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,George W. Whitlow Elementary,130222003853,2015,Total enrollment,,,7.00,154.00,2.00,280.00,64.00,613.00,28.00,1148.00,179.00,232.00
