Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,Classroom Teachers,48.00,48.00,,,,,,,,,,
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Fort Daniel Elementary School,130255000972,2015,Total enrollment,,,0.00,37.00,0.00,115.00,100.00,388.00,40.00,680.00,101.00,79.00
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,Classroom Teachers,53.00,52.00,,,,,,,,,,
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Dyer Elementary School,130255001109,2015,Total enrollment,,,2.00,55.00,0.00,148.00,226.00,325.00,46.00,802.00,149.00,109.00
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,Classroom Teachers,75.00,73.00,,,,,,,,,,
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,Teachers employed during current school year,78.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,Teachers employed during both the current and previous school year,62.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Gwinnett County,GA,Harbins Elementary School,130255001249,2015,Total enrollment,,,2.00,31.00,0.00,160.00,265.00,586.00,55.00,1099.00,203.00,121.00
GA,Gwinnett County,GA,Dacula Middle School,130255001907,2015,Classroom Teachers,91.98,89.98,,,,,,,,,,
GA,Gwinnett County,GA,Dacula Middle School,130255001907,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Gwinnett County,GA,Dacula Middle School,130255001907,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
