Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,Classroom Teachers,59.16,59.16,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,Classroom teachers in their first year of teaching,1.13,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,Teachers absent more than 10 days of the school year,17.23,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,Teachers employed during both the current and previous school year,55.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Middle School,130342001319,2015,Total enrollment,,,4.00,4.00,2.00,73.00,13.00,718.00,19.00,833.00,116.00,7.00
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,Classroom Teachers,64.97,59.59,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,Classroom teachers in their first year of teaching,6.19,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,Teachers absent more than 10 days of the school year,14.11,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,Teachers employed during both the current and previous school year,51.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,High-School Counselors,2.29,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County High School,130342002505,2015,Total enrollment,,,5.00,7.00,4.00,82.00,13.00,985.00,19.00,1115.00,152.00,7.00
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,Classroom Teachers,32.37,32.37,,,,,,,,,,
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lumpkin County,GA,Long Branch Elementary School,130342002139,2015,Total enrollment,,,2.00,2.00,0.00,28.00,4.00,406.00,19.00,461.00,65.00,13.00
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,Classroom Teachers,38.18,38.18,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,Classroom teachers in their first year of teaching,1.88,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,Teachers absent more than 10 days of the school year,8.78,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lumpkin County,GA,Lumpkin County Elementary School,130342001321,2015,Total enrollment,,,4.00,4.00,2.00,52.00,7.00,490.00,13.00,572.00,68.00,22.00

