Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Classroom Teachers,53.00,53.00,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Total enrollment,,,0.00,10.00,2.00,67.00,118.00,646.00,43.00,886.00,146.00,10.00
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Classroom Teachers,34.00,34.00,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Teachers employed during both the current and previous school year,23.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Total enrollment,,,2.00,10.00,0.00,40.00,181.00,160.00,25.00,418.00,68.00,19.00
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Classroom Teachers,91.00,88.00,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Teachers absent more than 10 days of the school year,27.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Teachers employed during current school year,91.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Teachers employed during both the current and previous school year,69.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Total enrollment,,,7.00,19.00,4.00,130.00,343.00,1102.00,76.00,1681.00,191.00,10.00
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Classroom Teachers,56.00,56.00,,,,,,,,,,
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
