Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,Classroom Teachers,25.61,25.61,,,,,,,,,,
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,Classroom teachers in their first year of teaching,1.17,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,Teachers absent more than 10 days of the school year,6.41,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,Teachers employed during current school year,29.00,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh County Middle School,130360002412,2015,Total enrollment,,,2.00,0.00,2.00,7.00,115.00,190.00,22.00,338.00,47.00,0.00
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,Classroom Teachers,34.17,34.17,,,,,,,,,,
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,Teachers absent more than 10 days of the school year,11.57,,,,,,,,,,,
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,McIntosh County,GA,Todd Grant Elementary School,130360001356,2015,Total enrollment,,,0.00,4.00,0.00,10.00,205.00,244.00,22.00,485.00,53.00,5.00
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,Classroom Teachers,29.53,25.27,,,,,,,,,,
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,Classroom teachers in their first year of teaching,1.96,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,Teachers absent more than 10 days of the school year,12.53,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,McIntosh County,GA,McIntosh Academy,130360002413,2015,Total enrollment,,,2.00,4.00,0.00,7.00,196.00,226.00,7.00,442.00,47.00,2.00
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,Classroom Teachers,17.44,17.44,,,,,,,,,,
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,Teachers absent more than 10 days of the school year,8.24,,,,,,,,,,,
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,Teachers employed during both the current and previous school year,15.00,,,,,,,,,,,
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,McIntosh County,GA,Oak Grove Intermediate School,130360003428,2015,Total enrollment,,,0.00,2.00,0.00,10.00,97.00,106.00,4.00,219.00,29.00,2.00

