Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,Classroom Teachers,26.50,26.50,,,,,,,,,,
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,Teachers absent more than 10 days of the school year,10.50,,,,,,,,,,,
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dawson County,GA,Kilough Elementary School,130165002536,2015,Total enrollment,,,2.00,2.00,0.00,61.00,4.00,292.00,7.00,368.00,38.00,46.00
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,Classroom Teachers,48.08,48.08,,,,,,,,,,
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lumpkin County,GA,Blackburn Elementary School,130342002581,2015,Total enrollment,,,7.00,2.00,2.00,55.00,13.00,673.00,13.00,765.00,107.00,19.00
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,Classroom Teachers,26.50,26.50,,,,,,,,,,
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dawson County,GA,Black's Mill Elementary School,130165002254,2015,Total enrollment,,,2.00,0.00,0.00,49.00,0.00,259.00,13.00,323.00,59.00,25.00
GA,Dawson County,GA,Dawson County High School,130165002253,2015,Classroom Teachers,60.29,58.29,,,,,,,,,,
GA,Dawson County,GA,Dawson County High School,130165002253,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Dawson County,GA,Dawson County High School,130165002253,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
