Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Classroom Teachers,5.00,5.00,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Teachers employed during current school year,5.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Teachers employed during both the current and previous school year,5.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Total enrollment,,,0.00,2.00,0.00,2.00,32.00,0.00,0.00,36.00,4.00,0.00
GA,DeKalb County,GA,International Community School,130174002538,2015,Classroom Teachers,34.00,32.00,,,,,,,,,,
GA,DeKalb County,GA,International Community School,130174002538,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,DeKalb County,GA,International Community School,130174002538,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,DeKalb County,GA,International Community School,130174002538,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,DeKalb County,GA,International Community School,130174002538,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,DeKalb County,GA,International Community School,130174002538,2015,Teachers employed during both the current and previous school year,25.00,,,,,,,,,,,
GA,DeKalb County,GA,International Community School,130174002538,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,DeKalb County,GA,International Community School,130174002538,2015,Total enrollment,,,2.00,133.00,2.00,19.00,157.00,76.00,19.00,408.00,17.00,172.00
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,Classroom Teachers,78.99,65.49,,,,,,,,,,
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,Classroom teachers in their first year of teaching,7.50,,,,,,,,,,,
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,Teachers absent more than 10 days of the school year,34.50,,,,,,,,,,,
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,Teachers employed during current school year,81.00,,,,,,,,,,,
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,Teachers employed during both the current and previous school year,60.00,,,,,,,,,,,
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Southwest DeKalb High School,130174000679,2015,Total enrollment,,,2.00,5.00,4.00,10.00,1186.00,7.00,13.00,1227.00,128.00,10.00
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,Classroom Teachers,39.65,38.65,,,,,,,,,,
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,Teachers absent more than 10 days of the school year,26.50,,,,,,,,,,,
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,DeKalb County,GA,Columbia Elementary School,130174000652,2015,Total enrollment,,,0.00,2.00,0.00,4.00,550.00,2.00,4.00,562.00,59.00,4.00
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,Classroom Teachers,32.16,30.16,,,,,,,,,,
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,Classroom teachers in their first year of teaching,1.50,,,,,,,,,,,
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,Classroom teachers in their second year of teaching,4.49,,,,,,,,,,,
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,Teachers absent more than 10 days of the school year,9.20,,,,,,,,,,,
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Rainbow Elementary School,130174000699,2015,Total enrollment,,,2.00,4.00,2.00,7.00,442.00,0.00,4.00,461.00,47.00,7.00
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,Classroom Teachers,22.40,22.40,,,,,,,,,,
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Decatur City,GA,New Glennwood Elementary,130168004028,2015,Total enrollment,,,0.00,13.00,0.00,16.00,58.00,184.00,28.00,299.00,38.00,2.00
GA,Decatur City,GA,College Heights Early Learning Center,130168003477,2015,Classroom Teachers,12.00,12.00,,,,,,,,,,
GA,Decatur City,GA,College Heights Early Learning Center,130168003477,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
