Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,Classroom Teachers,40.00,40.00,,,,,,,,,,
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,Wilbanks Middle School,130258004032,2015,Total enrollment,,,0.00,31.00,2.00,154.00,13.00,244.00,28.00,472.00,86.00,130.00
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,Classroom Teachers,37.80,37.80,,,,,,,,,,
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,Demorest Elementary School,130258001151,2015,Total enrollment,,,0.00,16.00,0.00,118.00,13.00,325.00,13.00,485.00,77.00,100.00
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,Classroom Teachers,35.35,35.35,,,,,,,,,,
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,Fairview Elementary School,130258001150,2015,Total enrollment,,,0.00,7.00,0.00,43.00,2.00,382.00,7.00,441.00,92.00,25.00

