Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,Classroom Teachers,37.50,37.50,,,,,,,,,,
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Middle School,130189001729,2015,Total enrollment,,,0.00,0.00,0.00,19.00,208.00,247.00,7.00,481.00,56.00,4.00
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,Classroom Teachers,25.95,25.95,,,,,,,,,,
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,Teachers absent more than 10 days of the school year,14.95,,,,,,,,,,,
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,Teachers employed during current school year,26.00,,,,,,,,,,,
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dublin City,GA,Hillcrest Elementary,130187004061,2015,Total enrollment,,,0.00,7.00,0.00,16.00,361.00,49.00,16.00,449.00,32.00,7.00
GA,Dublin City,GA,Community Hope Center,130187003579,2015,Classroom Teachers,3.49,2.49,,,,,,,,,,
GA,Dublin City,GA,Community Hope Center,130187003579,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Dublin City,GA,Community Hope Center,130187003579,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Dublin City,GA,Community Hope Center,130187003579,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Dublin City,GA,Community Hope Center,130187003579,2015,Teachers employed during current school year,4.00,,,,,,,,,,,
GA,Dublin City,GA,Community Hope Center,130187003579,2015,Teachers employed during both the current and previous school year,2.00,,,,,,,,,,,
GA,Dublin City,GA,Community Hope Center,130187003579,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Dublin City,GA,Community Hope Center,130187003579,2015,Total enrollment,,,0.00,0.00,0.00,0.00,4.00,4.00,0.00,8.00,<=2,0.00
GA,Dublin City,GA,Susie Dasher,130187002217,2015,Classroom Teachers,31.00,30.00,,,,,,,,,,
GA,Dublin City,GA,Susie Dasher,130187002217,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Dublin City,GA,Susie Dasher,130187002217,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dublin City,GA,Susie Dasher,130187002217,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Dublin City,GA,Susie Dasher,130187002217,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Dublin City,GA,Susie Dasher,130187002217,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Dublin City,GA,Susie Dasher,130187002217,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dublin City,GA,Susie Dasher,130187002217,2015,Total enrollment,,,0.00,2.00,0.00,10.00,463.00,7.00,7.00,489.00,83.00,0.00
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,Classroom Teachers,42.27,41.27,,,,,,,,,,
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,Teachers absent more than 10 days of the school year,15.27,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens Primary School,130189002934,2015,Total enrollment,,,0.00,2.00,0.00,40.00,232.00,379.00,25.00,678.00,53.00,10.00
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,Classroom Teachers,59.47,59.47,,,,,,,,,,
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,Teachers absent more than 10 days of the school year,20.83,,,,,,,,,,,
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,Teachers employed during current school year,62.00,,,,,,,,,,,
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,Teachers employed during both the current and previous school year,55.00,,,,,,,,,,,
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Laurens County,GA,West Laurens Middle School,130189000878,2015,Total enrollment,,,4.00,10.00,0.00,28.00,232.00,685.00,13.00,972.00,86.00,4.00
GA,Dublin City,GA,Saxon Heights,130187004055,2015,Classroom Teachers,26.00,26.00,,,,,,,,,,
GA,Dublin City,GA,Saxon Heights,130187004055,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Dublin City,GA,Saxon Heights,130187004055,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Dublin City,GA,Saxon Heights,130187004055,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Dublin City,GA,Saxon Heights,130187004055,2015,Teachers employed during current school year,26.00,,,,,,,,,,,
GA,Dublin City,GA,Saxon Heights,130187004055,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Dublin City,GA,Saxon Heights,130187004055,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dublin City,GA,Saxon Heights,130187004055,2015,Total enrollment,,,0.00,4.00,0.00,13.00,382.00,7.00,10.00,416.00,26.00,0.00
GA,Laurens County,GA,East Laurens High School,130189001707,2015,Classroom Teachers,42.48,42.48,,,,,,,,,,
GA,Laurens County,GA,East Laurens High School,130189001707,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens High School,130189001707,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens High School,130189001707,2015,Teachers absent more than 10 days of the school year,21.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens High School,130189001707,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens High School,130189001707,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens High School,130189001707,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Laurens County,GA,East Laurens High School,130189001707,2015,Total enrollment,,,2.00,4.00,0.00,22.00,244.00,310.00,16.00,598.00,65.00,4.00
GA,Dublin City,GA,Dublin High School,130187000873,2015,Classroom Teachers,43.82,37.99,,,,,,,,,,
GA,Dublin City,GA,Dublin High School,130187000873,2015,Classroom teachers in their first year of teaching,4.34,,,,,,,,,,,
GA,Dublin City,GA,Dublin High School,130187000873,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Dublin City,GA,Dublin High School,130187000873,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Dublin City,GA,Dublin High School,130187000873,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Dublin City,GA,Dublin High School,130187000873,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Dublin City,GA,Dublin High School,130187000873,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Dublin City,GA,Dublin High School,130187000873,2015,Total enrollment,,,0.00,10.00,0.00,7.00,538.00,58.00,16.00,629.00,62.00,4.00
