Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,Classroom Teachers,62.08,62.08,,,,,,,,,,
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,Teachers absent more than 10 days of the school year,20.50,,,,,,,,,,,
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Harris Elementary School,130255001133,2015,Total enrollment,,,5.00,169.00,0.00,313.00,193.00,199.00,31.00,910.00,152.00,358.00
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,Classroom Teachers,87.01,86.01,,,,,,,,,,
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,Teachers absent more than 10 days of the school year,19.63,,,,,,,,,,,
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,Teachers employed during current school year,91.00,,,,,,,,,,,
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,Teachers employed during both the current and previous school year,74.00,,,,,,,,,,,
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Charles Brant Chesney Elementary School,130255003399,2015,Total enrollment,,,0.00,127.00,0.00,598.00,325.00,58.00,31.00,1139.00,125.00,604.00
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,Classroom Teachers,91.50,84.50,,,,,,,,,,
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,Teachers absent more than 10 days of the school year,29.00,,,,,,,,,,,
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,Teachers employed during current school year,93.00,,,,,,,,,,,
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,Teachers employed during both the current and previous school year,84.00,,,,,,,,,,,
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Gwinnett County,GA,Louise Radloff Middle School,130255003398,2015,Total enrollment,,,2.00,70.00,4.00,931.00,340.00,31.00,22.00,1400.00,230.00,307.00
