Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,Classroom Teachers,2.00,2.00,,,,,,,,,,
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,Teachers employed during current school year,2.00,,,,,,,,,,,
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Dodge County,GA,DAC (Dodge County Achievement Center),130177004186,2015,Total enrollment,,,0.00,0.00,2.00,2.00,19.00,16.00,0.00,39.00,10.00,0.00
GA,Dodge County,GA,North Dodge Elementary School,130177002114,2015,Classroom Teachers,52.50,52.50,,,,,,,,,,
GA,Dodge County,GA,North Dodge Elementary School,130177002114,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Dodge County,GA,North Dodge Elementary School,130177002114,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dodge County,GA,North Dodge Elementary School,130177002114,2015,Teachers absent more than 10 days of the school year,27.50,,,,,,,,,,,
GA,Dodge County,GA,North Dodge Elementary School,130177002114,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Dodge County,GA,North Dodge Elementary School,130177002114,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Dodge County,GA,North Dodge Elementary School,130177002114,2015,High-School Counselors,1.00,,,,,,,,,,,
