Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,Classroom Teachers,45.00,45.00,,,,,,,,,,
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Elementary School,130426003867,2015,Total enrollment,,,0.00,7.00,0.00,85.00,259.00,313.00,25.00,689.00,101.00,58.00
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,Classroom Teachers,43.53,43.53,,,,,,,,,,
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Middle School,130426003878,2015,Total enrollment,,,0.00,7.00,0.00,55.00,220.00,280.00,22.00,584.00,122.00,7.00
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,Classroom Teachers,54.00,53.00,,,,,,,,,,
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,Teachers absent more than 10 days of the school year,25.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County Primary School,130426003919,2015,Total enrollment,,,0.00,10.00,0.00,148.00,316.00,355.00,31.00,860.00,86.00,94.00
GA,Putnam County,GA,Putnam County High School,130426003882,2015,Classroom Teachers,44.09,42.09,,,,,,,,,,
GA,Putnam County,GA,Putnam County High School,130426003882,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County High School,130426003882,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County High School,130426003882,2015,Teachers absent more than 10 days of the school year,15.13,,,,,,,,,,,
GA,Putnam County,GA,Putnam County High School,130426003882,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County High School,130426003882,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County High School,130426003882,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Putnam County,GA,Putnam County High School,130426003882,2015,Total enrollment,,,0.00,2.00,0.00,73.00,325.00,316.00,25.00,741.00,128.00,7.00

