Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,Classroom Teachers,32.59,32.59,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Primary School,130201004100,2015,Total enrollment,,,0.00,4.00,0.00,46.00,199.00,253.00,19.00,521.00,50.00,37.00
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,Classroom Teachers,57.50,56.50,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Elbert County Schools,GA,Elbert County Middle School,130201002871,2015,Total enrollment,,,0.00,8.00,0.00,85.00,274.00,475.00,25.00,867.00,92.00,34.00
GA,Elbert County Schools,GA,Paul J. Blackwell Learning Center,130201004085,2015,Classroom Teachers,10.00,10.00,,,,,,,,,,
