Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,Classroom Teachers,40.25,38.25,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove Elementary School,130174000645,2015,Total enrollment,,,0.00,2.00,0.00,19.00,538.00,2.00,4.00,565.00,65.00,13.00
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,Classroom Teachers,37.00,36.00,,,,,,,,,,
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,East Clayton Elementary School,130123000475,2015,Total enrollment,,,4.00,22.00,0.00,64.00,499.00,22.00,13.00,624.00,50.00,43.00
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,Classroom Teachers,8.48,5.48,,,,,,,,,,
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,Teachers employed during current school year,10.00,,,,,,,,,,,
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,Teachers employed during both the current and previous school year,8.00,,,,,,,,,,,
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Destiny Achievers Academy of Excellence,130174004035,2015,Total enrollment,,,2.00,0.00,0.00,2.00,151.00,0.00,4.00,159.00,4.00,0.00
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,Classroom Teachers,64.00,52.00,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,Classroom teachers in their first year of teaching,8.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,Teachers absent more than 10 days of the school year,32.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,DeKalb County,GA,Cedar Grove High School,130174000639,2015,Total enrollment,,,2.00,2.00,2.00,25.00,1048.00,4.00,2.00,1085.00,146.00,31.00

