Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,Classroom Teachers,66.22,65.22,,,,,,,,,,
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,Teachers absent more than 10 days of the school year,10.28,,,,,,,,,,,
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,Teachers employed during current school year,68.00,,,,,,,,,,,
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,Teachers employed during both the current and previous school year,51.00,,,,,,,,,,,
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Gilmer County,GA,Gilmer High School,130234001053,2015,Total enrollment,,,0.00,4.00,2.00,241.00,4.00,952.00,10.00,1213.00,110.00,70.00
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,Classroom Teachers,44.35,44.35,,,,,,,,,,
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,Teachers absent more than 10 days of the school year,15.15,,,,,,,,,,,
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gilmer County,GA,Ellijay Elementary School,130234001054,2015,Total enrollment,,,0.00,4.00,0.00,202.00,4.00,460.00,7.00,677.00,50.00,178.00
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,Classroom Teachers,36.07,36.07,,,,,,,,,,
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,Teachers absent more than 10 days of the school year,6.07,,,,,,,,,,,
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gilmer County,GA,Clear Creek Middle School,130234003371,2015,Total enrollment,,,4.00,2.00,0.00,151.00,4.00,451.00,2.00,614.00,59.00,55.00
GA,Gilmer County,GA,Mountain View Elementary,130234002565,2015,Classroom Teachers,30.79,30.79,,,,,,,,,,
GA,Gilmer County,GA,Mountain View Elementary,130234002565,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Gilmer County,GA,Mountain View Elementary,130234002565,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gilmer County,GA,Mountain View Elementary,130234002565,2015,Teachers absent more than 10 days of the school year,5.29,,,,,,,,,,,
GA,Gilmer County,GA,Mountain View Elementary,130234002565,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
