Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Classroom Teachers,35.25,35.25,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Teachers absent more than 10 days of the school year,4.25,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Total enrollment,,,0.00,4.00,0.00,49.00,19.00,328.00,16.00,416.00,47.00,31.00
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Classroom Teachers,45.54,44.54,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Total enrollment,,,2.00,7.00,0.00,103.00,61.00,439.00,34.00,646.00,86.00,19.00

