Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,Classroom Teachers,43.27,43.27,,,,,,,,,,
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,Teachers absent more than 10 days of the school year,10.67,,,,,,,,,,,
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Columbia County,GA,Lakeside Middle School,130141002073,2015,Total enrollment,,,2.00,31.00,4.00,49.00,148.00,364.00,25.00,623.00,62.00,13.00
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,Classroom Teachers,34.24,33.24,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,Teachers absent more than 10 days of the school year,8.69,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Middle School,130141002366,2015,Total enrollment,,,2.00,13.00,2.00,40.00,70.00,460.00,13.00,600.00,29.00,4.00
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,Classroom Teachers,93.73,89.23,,,,,,,,,,
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,Teachers absent more than 10 days of the school year,23.59,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,Teachers employed during current school year,99.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,Teachers employed during both the current and previous school year,82.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,High-School Counselors,4.49,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier High School,130141001501,2015,Total enrollment,,,4.00,64.00,2.00,97.00,247.00,1258.00,67.00,1739.00,101.00,4.00
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,Classroom Teachers,48.10,48.10,,,,,,,,,,
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,Teachers absent more than 10 days of the school year,11.70,,,,,,,,,,,
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,River Ridge Elementary,130141003325,2015,Total enrollment,,,4.00,40.00,2.00,61.00,85.00,523.00,37.00,752.00,62.00,22.00
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,Classroom Teachers,41.00,41.00,,,,,,,,,,
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,Blue Ridge Elementary School,130141001997,2015,Total enrollment,,,4.00,79.00,7.00,43.00,97.00,370.00,37.00,637.00,59.00,34.00
GA,Columbia County,GA,Lakeside High School,130141002025,2015,Classroom Teachers,90.37,88.37,,,,,,,,,,
GA,Columbia County,GA,Lakeside High School,130141002025,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside High School,130141002025,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside High School,130141002025,2015,Teachers absent more than 10 days of the school year,25.66,,,,,,,,,,,
GA,Columbia County,GA,Lakeside High School,130141002025,2015,Teachers employed during current school year,93.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside High School,130141002025,2015,Teachers employed during both the current and previous school year,83.00,,,,,,,,,,,
GA,Columbia County,GA,Lakeside High School,130141002025,2015,High-School Counselors,4.57,,,,,,,,,,,
GA,Columbia County,GA,Lakeside High School,130141002025,2015,Total enrollment,,,4.00,142.00,4.00,103.00,310.00,1066.00,58.00,1687.00,95.00,22.00
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,Classroom Teachers,48.00,48.00,,,,,,,,,,
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,Lewiston Elementary School,130141002848,2015,Total enrollment,,,2.00,22.00,0.00,79.00,109.00,493.00,55.00,760.00,98.00,13.00
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,Classroom Teachers,42.37,42.37,,,,,,,,,,
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,Teachers absent more than 10 days of the school year,17.37,,,,,,,,,,,
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Columbia County,GA,Riverside Middle School,130141000126,2015,Total enrollment,,,2.00,34.00,2.00,40.00,94.00,505.00,22.00,699.00,41.00,4.00
GA,Columbia County,GA,Greenbrier Elementary School,130141001502,2015,Classroom Teachers,54.84,54.84,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Elementary School,130141001502,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Greenbrier Elementary School,130141001502,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
