Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Classroom Teachers,38.33,38.16,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Classroom teachers in their second year of teaching,0.17,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Total enrollment,,,2.00,4.00,0.00,19.00,187.00,364.00,16.00,592.00,86.00,4.00
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Classroom Teachers,38.00,38.00,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Total enrollment,,,0.00,4.00,0.00,19.00,175.00,385.00,28.00,611.00,83.00,4.00
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Classroom Teachers,47.00,47.00,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Total enrollment,,,0.00,4.00,0.00,13.00,277.00,442.00,34.00,770.00,56.00,7.00
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Classroom Teachers,41.84,39.01,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Classroom teachers in their first year of teaching,0.33,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Classroom teachers in their second year of teaching,0.83,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Teachers absent more than 10 days of the school year,5.24,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Total enrollment,,,2.00,4.00,0.00,10.00,265.00,481.00,10.00,772.00,77.00,7.00

