Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Classroom Teachers,65.40,65.20,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Classroom teachers in their first year of teaching,1.20,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Teachers absent more than 10 days of the school year,19.20,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Teachers employed during current school year,67.00,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Total enrollment,,,4.00,61.00,2.00,103.00,526.00,205.00,67.00,968.00,116.00,19.00
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Classroom Teachers,62.00,62.00,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Teachers absent more than 10 days of the school year,20.50,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Teachers employed during current school year,63.00,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Teachers employed during both the current and previous school year,56.00,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Total enrollment,,,2.00,28.00,2.00,55.00,187.00,601.00,43.00,918.00,95.00,4.00
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Classroom Teachers,39.30,39.30,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Teachers absent more than 10 days of the school year,12.80,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Total enrollment,,,4.00,25.00,2.00,94.00,169.00,184.00,25.00,503.00,38.00,28.00
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Classroom Teachers,38.33,34.33,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Total enrollment,,,2.00,16.00,0.00,61.00,508.00,22.00,28.00,637.00,41.00,19.00
GA,Fayette County,GA,Fayette County High School,130213002168,2015,Classroom Teachers,86.50,84.50,,,,,,,,,,
