Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,Classroom Teachers,39.67,39.67,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,Classroom teachers in their first year of teaching,3.12,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,Teachers absent more than 10 days of the school year,2.05,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Middle School,130537003457,2015,Total enrollment,,,0.00,4.00,0.00,10.00,34.00,433.00,31.00,512.00,92.00,0.00
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,Classroom Teachers,35.36,35.36,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,Classroom teachers in their second year of teaching,0.25,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Walker County,GA,Chattanooga Valley Elementary School,130537001760,2015,Total enrollment,,,0.00,0.00,0.00,10.00,22.00,463.00,34.00,529.00,68.00,4.00

