Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,Classroom Teachers,77.56,76.56,,,,,,,,,,
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,Teachers absent more than 10 days of the school year,37.56,,,,,,,,,,,
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,Teachers employed during current school year,80.00,,,,,,,,,,,
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,Teachers employed during both the current and previous school year,72.00,,,,,,,,,,,
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,High-School Counselors,1.99,,,,,,,,,,,
GA,Hall County,GA,C. W. Davis Middle School,130261002326,2015,Total enrollment,,,0.00,28.00,0.00,226.00,73.00,880.00,37.00,1244.00,158.00,40.00
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,Classroom Teachers,49.50,49.50,,,,,,,,,,
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,Teachers absent more than 10 days of the school year,19.50,,,,,,,,,,,
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Hall County,GA,Spout Springs Elementary School,130261002177,2015,Total enrollment,,,4.00,16.00,2.00,109.00,25.00,676.00,19.00,851.00,128.00,61.00
GA,Hall County,GA,World Language Academy,130261003805,2015,Classroom Teachers,50.80,49.21,,,,,,,,,,
GA,Hall County,GA,World Language Academy,130261003805,2015,Classroom teachers in their first year of teaching,0.59,,,,,,,,,,,
GA,Hall County,GA,World Language Academy,130261003805,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Hall County,GA,World Language Academy,130261003805,2015,Teachers absent more than 10 days of the school year,21.33,,,,,,,,,,,
GA,Hall County,GA,World Language Academy,130261003805,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Hall County,GA,World Language Academy,130261003805,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Hall County,GA,World Language Academy,130261003805,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Hall County,GA,World Language Academy,130261003805,2015,Total enrollment,,,0.00,13.00,2.00,490.00,40.00,385.00,19.00,949.00,50.00,217.00
GA,Hall County,GA,South Hall Middle School,130261001169,2015,Classroom Teachers,78.81,78.81,,,,,,,,,,
