Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Charlton County,GA,Charlton County High School,130099000358,2015,Classroom Teachers,24.96,24.96,,,,,,,,,,
GA,Charlton County,GA,Charlton County High School,130099000358,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Charlton County,GA,Charlton County High School,130099000358,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Charlton County,GA,Charlton County High School,130099000358,2015,Teachers absent more than 10 days of the school year,7.32,,,,,,,,,,,
GA,Charlton County,GA,Charlton County High School,130099000358,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Charlton County,GA,Charlton County High School,130099000358,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Charlton County,GA,Charlton County High School,130099000358,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Charlton County,GA,Charlton County High School,130099000358,2015,Total enrollment,,,0.00,4.00,0.00,7.00,127.00,307.00,16.00,461.00,23.00,2.00
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,Classroom Teachers,33.84,33.84,,,,,,,,,,
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Charlton County,GA,Folkston Elementary School,130099002241,2015,Total enrollment,,,4.00,4.00,0.00,7.00,199.00,298.00,40.00,552.00,56.00,4.00
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,Classroom Teachers,33.10,31.10,,,,,,,,,,
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Charlton County,GA,Bethune Middle School,130099004016,2015,Total enrollment,,,2.00,2.00,0.00,10.00,169.00,307.00,25.00,515.00,50.00,4.00

