Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,Classroom Teachers,39.00,36.00,,,,,,,,,,
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,Classroom teachers in their first year of teaching,9.00,,,,,,,,,,,
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Edmonds Elementary School,130123000485,2015,Total enrollment,,,0.00,16.00,0.00,280.00,259.00,22.00,10.00,587.00,44.00,187.00
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,Classroom Teachers,46.50,43.50,,,,,,,,,,
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Huie Elementary School,130123000484,2015,Total enrollment,,,0.00,19.00,0.00,271.00,448.00,22.00,28.00,788.00,59.00,217.00
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,Classroom Teachers,55.50,39.50,,,,,,,,,,
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,Classroom teachers in their first year of teaching,27.00,,,,,,,,,,,
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Unidos Dual Language Charter School,130123003687,2015,Total enrollment,,,2.00,7.00,0.00,415.00,352.00,7.00,19.00,802.00,38.00,253.00
GA,Clayton County,GA,Babb Middle School,130123000496,2015,Classroom Teachers,53.50,51.50,,,,,,,,,,
GA,Clayton County,GA,Babb Middle School,130123000496,2015,Classroom teachers in their first year of teaching,9.00,,,,,,,,,,,
GA,Clayton County,GA,Babb Middle School,130123000496,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Clayton County,GA,Babb Middle School,130123000496,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Clayton County,GA,Babb Middle School,130123000496,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Clayton County,GA,Babb Middle School,130123000496,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Clayton County,GA,Babb Middle School,130123000496,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Clayton County,GA,Babb Middle School,130123000496,2015,Total enrollment,,,4.00,94.00,0.00,379.00,298.00,40.00,16.00,831.00,71.00,121.00
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,Classroom Teachers,31.00,28.00,,,,,,,,,,
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,South Metro Educational Center (GNETS),130123002838,2015,Total enrollment,,,0.00,0.00,0.00,7.00,97.00,4.00,2.00,110.00,107.00,2.00
GA,Clayton County,GA,Forest Park High School,130123000474,2015,Classroom Teachers,95.50,80.50,,,,,,,,,,
GA,Clayton County,GA,Forest Park High School,130123000474,2015,Classroom teachers in their first year of teaching,21.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park High School,130123000474,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park High School,130123000474,2015,Teachers absent more than 10 days of the school year,33.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park High School,130123000474,2015,Teachers employed during current school year,96.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park High School,130123000474,2015,Teachers employed during both the current and previous school year,91.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park High School,130123000474,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park High School,130123000474,2015,Total enrollment,,,2.00,154.00,0.00,751.00,865.00,70.00,28.00,1870.00,212.00,187.00
GA,Clayton County,GA,Forest Park Middle School,130123000466,2015,Classroom Teachers,44.50,40.50,,,,,,,,,,
GA,Clayton County,GA,Forest Park Middle School,130123000466,2015,Classroom teachers in their first year of teaching,12.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park Middle School,130123000466,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park Middle School,130123000466,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park Middle School,130123000466,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park Middle School,130123000466,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Clayton County,GA,Forest Park Middle School,130123000466,2015,High-School Counselors,1.50,,,,,,,,,,,
