Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,Classroom Teachers,41.40,41.40,,,,,,,,,,
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Monroe County,GA,Katherine B. Sutton Elementary School,130372003839,2015,Total enrollment,,,0.00,4.00,0.00,16.00,121.00,391.00,22.00,554.00,68.00,0.00
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,Classroom Teachers,47.78,47.78,,,,,,,,,,
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,Teachers absent more than 10 days of the school year,11.95,,,,,,,,,,,
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Monroe County,GA,Samuel E. Hubbard Elementary School,130372001374,2015,Total enrollment,,,0.00,2.00,0.00,13.00,211.00,388.00,25.00,639.00,98.00,0.00
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,Classroom Teachers,50.28,50.28,,,,,,,,,,
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,Teachers absent more than 10 days of the school year,10.95,,,,,,,,,,,
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Monroe County,GA,T.G. Scott Elementary School,130372003430,2015,Total enrollment,,,2.00,7.00,0.00,22.00,160.00,532.00,22.00,745.00,71.00,10.00
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,Classroom Teachers,70.90,66.90,,,,,,,,,,
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,Classroom teachers in their first year of teaching,3.30,,,,,,,,,,,
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,Teachers absent more than 10 days of the school year,10.85,,,,,,,,,,,
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,Teachers employed during current school year,73.00,,,,,,,,,,,
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,Teachers employed during both the current and previous school year,64.00,,,,,,,,,,,
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,High-School Counselors,2.50,,,,,,,,,,,
GA,Monroe County,GA,Mary Persons High School,130372001373,2015,Total enrollment,,,2.00,10.00,0.00,22.00,337.00,823.00,25.00,1219.00,116.00,2.00
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,Classroom Teachers,54.63,52.63,,,,,,,,,,
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,Classroom teachers in their first year of teaching,3.70,,,,,,,,,,,
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,Teachers absent more than 10 days of the school year,15.80,,,,,,,,,,,
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Monroe County,GA,Monroe County Middle School- Banks Stephens Campus,130372004065,2015,Total enrollment,,,2.00,4.00,0.00,19.00,193.00,631.00,19.00,868.00,104.00,4.00

