Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Classroom Teachers,64.93,61.93,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Teachers absent more than 10 days of the school year,22.45,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Teachers employed during current school year,68.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Total enrollment,,,4.00,25.00,4.00,55.00,52.00,814.00,22.00,976.00,146.00,7.00
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Classroom Teachers,29.96,29.96,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Total enrollment,,,4.00,13.00,4.00,22.00,25.00,403.00,16.00,487.00,89.00,10.00

