Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,Classroom Teachers,2.00,2.00,,,,,,,,,,
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,Teachers employed during current school year,2.00,,,,,,,,,,,
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,Teachers employed during both the current and previous school year,2.00,,,,,,,,,,,
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Peach County,GA,Trojan Academy (Alternative School),130405004010,2015,Total enrollment,,,0.00,0.00,0.00,0.00,10.00,2.00,0.00,12.00,<=2,0.00
GA,Peach County,GA,Peach County High School,130405001483,2015,Classroom Teachers,54.92,51.92,,,,,,,,,,
GA,Peach County,GA,Peach County High School,130405001483,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Peach County,GA,Peach County High School,130405001483,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Peach County,GA,Peach County High School,130405001483,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Peach County,GA,Peach County High School,130405001483,2015,Teachers employed during current school year,58.00,,,,,,,,,,,
GA,Peach County,GA,Peach County High School,130405001483,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Peach County,GA,Peach County High School,130405001483,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Peach County,GA,Peach County High School,130405001483,2015,Total enrollment,,,2.00,7.00,0.00,148.00,517.00,283.00,28.00,985.00,122.00,28.00
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,Classroom Teachers,40.50,39.50,,,,,,,,,,
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Peach County,GA,Hunt Elementary School,130405001480,2015,Total enrollment,,,0.00,0.00,0.00,88.00,550.00,52.00,7.00,697.00,98.00,70.00
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,Classroom Teachers,35.16,34.16,,,,,,,,,,
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Peach County,GA,Fort Valley Middle School,130405001482,2015,Total enrollment,,,2.00,2.00,0.00,88.00,325.00,46.00,10.00,473.00,68.00,28.00

