Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,Classroom Teachers,24.83,24.33,,,,,,,,,,
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,Classroom teachers in their second year of teaching,0.83,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,Teachers absent more than 10 days of the school year,6.83,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Middle School,130477002434,2015,Total enrollment,,,0.00,2.00,0.00,40.00,85.00,211.00,4.00,342.00,38.00,10.00
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,Classroom Teachers,54.40,54.40,,,,,,,,,,
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,Classroom teachers in their second year of teaching,0.17,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,Teachers absent more than 10 days of the school year,5.67,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,Teachers employed during current school year,58.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,Teachers employed during both the current and previous school year,55.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Tattnall County,GA,Glennville Elementary School,130477002437,2015,Total enrollment,,,2.00,7.00,0.00,127.00,214.00,469.00,31.00,850.00,119.00,82.00

