Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Classroom Teachers,51.75,49.75,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Total enrollment,,,4.00,67.00,2.00,142.00,376.00,352.00,58.00,1001.00,143.00,25.00
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,Classroom Teachers,45.03,45.03,,,,,,,,,,
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,Teachers absent more than 10 days of the school year,10.03,,,,,,,,,,,
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jones County Schools,GA,Dames Ferry Elementary School,130315002272,2015,Total enrollment,,,0.00,7.00,0.00,22.00,91.00,505.00,22.00,647.00,86.00,2.00
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,Classroom Teachers,43.40,43.40,,,,,,,,,,
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,Teachers absent more than 10 days of the school year,15.40,,,,,,,,,,,
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jones County Schools,GA,Gray Elementary School,130315001277,2015,Total enrollment,,,0.00,5.00,0.00,10.00,184.00,382.00,19.00,600.00,71.00,7.00
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,Classroom Teachers,98.07,95.81,,,,,,,,,,
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,Classroom teachers in their first year of teaching,7.26,,,,,,,,,,,
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,Teachers absent more than 10 days of the school year,19.66,,,,,,,,,,,
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,Teachers employed during current school year,100.00,,,,,,,,,,,
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,Teachers employed during both the current and previous school year,85.00,,,,,,,,,,,
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Jones County Schools,GA,Jones County High School,130315001279,2015,Total enrollment,,,2.00,4.00,2.00,34.00,469.00,1054.00,37.00,1602.00,194.00,4.00
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,Classroom Teachers,32.98,31.98,,,,,,,,,,
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,Teachers absent more than 10 days of the school year,9.51,,,,,,,,,,,
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Graysville Elementary School,130093000352,2015,Total enrollment,,,0.00,7.00,2.00,16.00,10.00,436.00,28.00,499.00,77.00,13.00
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Classroom Teachers,59.70,59.70,,,,,,,,,,
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Teachers employed during both the current and previous school year,54.00,,,,,,,,,,,
