Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,Classroom Teachers,51.97,49.97,,,,,,,,,,
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Greene County,GA,LAKE OCONEE CHARTER,130249003570,2015,Total enrollment,,,0.00,16.00,0.00,58.00,64.00,568.00,37.00,743.00,41.00,19.00
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,Classroom Teachers,7.00,7.00,,,,,,,,,,
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,Teachers employed during current school year,7.00,,,,,,,,,,,
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,Teachers employed during both the current and previous school year,5.00,,,,,,,,,,,
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Greene County,GA,Greene County Pre-K,130249003968,2015,Total enrollment,,,0.00,0.00,0.00,16.00,79.00,7.00,13.00,115.00,20.00,13.00
GA,Greene County,GA,Greene County High School,130249002386,2015,Classroom Teachers,35.65,28.49,,,,,,,,,,
GA,Greene County,GA,Greene County High School,130249002386,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Greene County,GA,Greene County High School,130249002386,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Greene County,GA,Greene County High School,130249002386,2015,Teachers absent more than 10 days of the school year,11.98,,,,,,,,,,,
GA,Greene County,GA,Greene County High School,130249002386,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Greene County,GA,Greene County High School,130249002386,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,Greene County,GA,Greene County High School,130249002386,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Greene County,GA,Greene County High School,130249002386,2015,Total enrollment,,,2.00,2.00,0.00,46.00,358.00,67.00,10.00,485.00,59.00,13.00
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,Classroom Teachers,36.00,35.00,,,,,,,,,,
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Greene County,GA,Greensboro Elementary,130249002385,2015,Total enrollment,,,4.00,2.00,0.00,79.00,421.00,34.00,13.00,553.00,62.00,43.00
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,Classroom Teachers,29.00,29.00,,,,,,,,,,
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,Teachers employed during current school year,29.00,,,,,,,,,,,
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Greene County,GA,Anita White Carson Middle School,130249002383,2015,Total enrollment,,,2.00,0.00,0.00,34.00,226.00,28.00,4.00,294.00,44.00,16.00

