Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,Classroom Teachers,43.30,42.30,,,,,,,,,,
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,Brookwood Elementary School,130141002072,2015,Total enrollment,,,0.00,25.00,2.00,85.00,118.00,307.00,46.00,583.00,50.00,31.00
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,Classroom Teachers,64.79,64.79,,,,,,,,,,
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,Classroom teachers in their first year of teaching,6.50,,,,,,,,,,,
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Columbia County,GA,Cedar Ridge Elementary School,130141003554,2015,Total enrollment,,,4.00,25.00,2.00,235.00,310.00,397.00,106.00,1079.00,101.00,88.00
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,Classroom Teachers,41.16,41.16,,,,,,,,,,
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,Teachers absent more than 10 days of the school year,13.82,,,,,,,,,,,
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,Euchee Creek Elementary School,130141001506,2015,Total enrollment,,,2.00,13.00,0.00,49.00,100.00,370.00,49.00,583.00,50.00,13.00
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,Classroom Teachers,53.86,51.86,,,,,,,,,,
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,Teachers absent more than 10 days of the school year,16.02,,,,,,,,,,,
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,High-School Counselors,2.50,,,,,,,,,,,
GA,Columbia County,GA,Columbia Middle School,130141000607,2015,Total enrollment,,,4.00,34.00,2.00,97.00,250.00,604.00,61.00,1052.00,65.00,7.00
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,Classroom Teachers,56.31,55.31,,,,,,,,,,
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,Teachers absent more than 10 days of the school year,11.29,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Middle School,130141002528,2015,Total enrollment,,,4.00,19.00,4.00,148.00,325.00,319.00,85.00,904.00,92.00,25.00
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,Classroom Teachers,47.50,47.50,,,,,,,,,,
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,Teachers absent more than 10 days of the school year,19.50,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown Elementary School,130141000611,2015,Total enrollment,,,4.00,4.00,0.00,121.00,193.00,271.00,61.00,654.00,77.00,46.00
GA,Columbia County,GA,Grovetown High School,130141003903,2015,Classroom Teachers,99.41,93.41,,,,,,,,,,
GA,Columbia County,GA,Grovetown High School,130141003903,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown High School,130141003903,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown High School,130141003903,2015,Teachers absent more than 10 days of the school year,24.80,,,,,,,,,,,
GA,Columbia County,GA,Grovetown High School,130141003903,2015,Teachers employed during current school year,102.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown High School,130141003903,2015,Teachers employed during both the current and previous school year,79.00,,,,,,,,,,,
GA,Columbia County,GA,Grovetown High School,130141003903,2015,High-School Counselors,4.50,,,,,,,,,,,
GA,Columbia County,GA,Grovetown High School,130141003903,2015,Total enrollment,,,10.00,49.00,4.00,235.00,649.00,784.00,103.00,1834.00,146.00,31.00
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,Classroom Teachers,65.00,65.00,,,,,,,,,,
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,Classroom teachers in their first year of teaching,5.50,,,,,,,,,,,
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,Teachers absent more than 10 days of the school year,14.50,,,,,,,,,,,
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,Teachers employed during current school year,67.00,,,,,,,,,,,
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Columbia County,GA,Baker Place Elementary,130141004042,2015,Total enrollment,,,4.00,25.00,4.00,145.00,223.00,550.00,88.00,1039.00,89.00,25.00

