Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Effingham County,GA,South Effingham High School,130198001594,2015,Classroom Teachers,83.12,77.12,,,,,,,,,,
GA,Effingham County,GA,South Effingham High School,130198001594,2015,Classroom teachers in their first year of teaching,5.12,,,,,,,,,,,
GA,Effingham County,GA,South Effingham High School,130198001594,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham High School,130198001594,2015,Teachers absent more than 10 days of the school year,17.07,,,,,,,,,,,
GA,Effingham County,GA,South Effingham High School,130198001594,2015,Teachers employed during current school year,86.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham High School,130198001594,2015,Teachers employed during both the current and previous school year,66.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham High School,130198001594,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham High School,130198001594,2015,Total enrollment,,,2.00,19.00,4.00,76.00,148.00,1303.00,43.00,1595.00,185.00,7.00
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,Classroom Teachers,49.50,49.50,,,,,,,,,,
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,Teachers absent more than 10 days of the school year,7.50,,,,,,,,,,,
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,Marlow Elementary School,130198000887,2015,Total enrollment,,,0.00,7.00,0.00,43.00,37.00,673.00,28.00,788.00,107.00,19.00
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,Classroom Teachers,57.46,57.46,,,,,,,,,,
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,Teachers absent more than 10 days of the school year,22.30,,,,,,,,,,,
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,Teachers employed during both the current and previous school year,51.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County Middle School,130198000888,2015,Total enrollment,,,2.00,2.00,0.00,34.00,199.00,526.00,34.00,797.00,134.00,4.00
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,Classroom Teachers,60.59,59.59,,,,,,,,,,
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,Teachers absent more than 10 days of the school year,13.85,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,Teachers employed during both the current and previous school year,55.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Middle School,130198001597,2015,Total enrollment,,,2.00,13.00,0.00,64.00,64.00,808.00,34.00,985.00,140.00,7.00
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,Classroom Teachers,55.50,54.50,,,,,,,,,,
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,Teachers absent more than 10 days of the school year,15.25,,,,,,,,,,,
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,Guyton Elementary School,130198000889,2015,Total enrollment,,,2.00,2.00,0.00,31.00,124.00,553.00,31.00,743.00,209.00,4.00
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,Classroom Teachers,44.56,44.56,,,,,,,,,,
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,Teachers absent more than 10 days of the school year,9.50,,,,,,,,,,,
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,Sand Hill Elementary School,130198001141,2015,Total enrollment,,,0.00,0.00,0.00,34.00,37.00,490.00,19.00,580.00,131.00,7.00
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,Classroom Teachers,48.96,48.96,,,,,,,,,,
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,South Effingham Elementary School,130198001954,2015,Total enrollment,,,0.00,16.00,0.00,73.00,76.00,616.00,37.00,818.00,125.00,37.00

