Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,Classroom Teachers,38.64,38.64,,,,,,,,,,
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,Classroom teachers in their first year of teaching,4.17,,,,,,,,,,,
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,Teachers absent more than 10 days of the school year,7.48,,,,,,,,,,,
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Hart County,GA,Hartwell Elementary School,130273001197,2015,Total enrollment,,,0.00,7.00,2.00,19.00,190.00,319.00,28.00,565.00,74.00,4.00
GA,Hart County,GA,Hart County Middle School,130273002127,2015,Classroom Teachers,54.59,54.59,,,,,,,,,,
GA,Hart County,GA,Hart County Middle School,130273002127,2015,Classroom teachers in their first year of teaching,3.33,,,,,,,,,,,
GA,Hart County,GA,Hart County Middle School,130273002127,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Hart County,GA,Hart County Middle School,130273002127,2015,Teachers absent more than 10 days of the school year,14.41,,,,,,,,,,,
GA,Hart County,GA,Hart County Middle School,130273002127,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Hart County,GA,Hart County Middle School,130273002127,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Hart County,GA,Hart County Middle School,130273002127,2015,High-School Counselors,1.49,,,,,,,,,,,
GA,Hart County,GA,Hart County Middle School,130273002127,2015,Total enrollment,,,4.00,7.00,0.00,64.00,196.00,490.00,19.00,780.00,107.00,7.00
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,Classroom Teachers,37.67,37.67,,,,,,,,,,
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,Classroom teachers in their first year of teaching,5.50,,,,,,,,,,,
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,Teachers absent more than 10 days of the school year,8.17,,,,,,,,,,,
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Hart County,GA,South Hart Elementary School,130273002573,2015,Total enrollment,,,0.00,7.00,0.00,64.00,139.00,331.00,22.00,563.00,59.00,31.00
GA,Hart County,GA,Hart County High School,130273001193,2015,Classroom Teachers,60.34,58.34,,,,,,,,,,
GA,Hart County,GA,Hart County High School,130273001193,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Hart County,GA,Hart County High School,130273001193,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Hart County,GA,Hart County High School,130273001193,2015,Teachers absent more than 10 days of the school year,16.03,,,,,,,,,,,
GA,Hart County,GA,Hart County High School,130273001193,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,Hart County,GA,Hart County High School,130273001193,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Hart County,GA,Hart County High School,130273001193,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Hart County,GA,Hart County High School,130273001193,2015,Total enrollment,,,4.00,19.00,0.00,52.00,247.00,619.00,28.00,969.00,92.00,16.00

