Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,Classroom Teachers,43.00,43.00,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Elementary School,130422001513,2015,Total enrollment,,,2.00,7.00,0.00,64.00,292.00,343.00,16.00,724.00,83.00,34.00
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,Classroom Teachers,2.00,2.00,,,,,,,,,,
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,Teachers employed during current school year,2.00,,,,,,,,,,,
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,Teachers employed during both the current and previous school year,2.00,,,,,,,,,,,
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Alternative Learning Center,130422002766,2015,Total enrollment,,,0.00,0.00,0.00,2.00,34.00,22.00,2.00,60.00,14.00,0.00
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,Classroom Teachers,18.00,18.00,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,Teachers employed during current school year,18.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,Teachers employed during both the current and previous school year,16.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Pulaski County,GA,Pulaski County Middle School,130422001045,2015,Total enrollment,,,0.00,5.00,2.00,13.00,94.00,163.00,4.00,281.00,44.00,4.00
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,Classroom Teachers,24.50,24.50,,,,,,,,,,
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Pulaski County,GA,Hawkinsville High School,130422001514,2015,Total enrollment,,,0.00,4.00,2.00,19.00,163.00,190.00,16.00,394.00,47.00,4.00
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,Classroom Teachers,5.00,5.00,,,,,,,,,,
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,Teachers employed during current school year,5.00,,,,,,,,,,,
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,Teachers employed during both the current and previous school year,3.00,,,,,,,,,,,
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Pulaski County,GA,L.I.T.T.L.E. Children Growing PreK,130422002595,2015,Total enrollment,,,0.00,0.00,0.00,7.00,49.00,34.00,2.00,92.00,20.00,7.00

