Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,Classroom Teachers,42.95,42.95,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,Teachers absent more than 10 days of the school year,21.17,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Middle School,130300001256,2015,Total enrollment,,,4.00,4.00,0.00,127.00,103.00,403.00,13.00,654.00,89.00,52.00
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,Classroom Teachers,47.52,45.52,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,Teachers absent more than 10 days of the school year,16.87,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,High-School Counselors,2.50,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis High School,130300001259,2015,Total enrollment,,,0.00,4.00,0.00,148.00,148.00,559.00,2.00,861.00,89.00,28.00
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,Classroom Teachers,40.82,40.82,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,Teachers absent more than 10 days of the school year,22.33,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Elementary School,130300001257,2015,Total enrollment,,,0.00,4.00,0.00,157.00,103.00,433.00,16.00,713.00,92.00,127.00
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,Classroom Teachers,8.63,8.63,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,Teachers employed during current school year,7.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,Teachers employed during both the current and previous school year,7.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Pre-K,130300003983,2015,Total enrollment,,,0.00,2.00,0.00,40.00,31.00,94.00,7.00,174.00,41.00,0.00
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,Classroom Teachers,47.56,46.56,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,Teachers absent more than 10 days of the school year,19.46,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jeff Davis County,GA,Jeff Davis Primary School,130300001258,2015,Total enrollment,,,0.00,4.00,0.00,145.00,109.00,418.00,22.00,698.00,107.00,130.00

