Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,Classroom Teachers,29.00,29.00,,,,,,,,,,
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,Teachers employed during current school year,29.00,,,,,,,,,,,
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Richmond County,GA,McBean Elementary School,130438002280,2015,Total enrollment,,,4.00,0.00,2.00,28.00,76.00,274.00,19.00,403.00,50.00,4.00
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,Classroom Teachers,31.00,29.00,,,,,,,,,,
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,Teachers employed during both the current and previous school year,23.00,,,,,,,,,,,
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Richmond County,GA,Spirit Creek Middle School,130438002089,2015,Total enrollment,,,0.00,0.00,7.00,19.00,409.00,37.00,10.00,482.00,74.00,0.00
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,Classroom Teachers,36.00,35.00,,,,,,,,,,
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Richmond County,GA,Deer Chase Elementary School,130438003662,2015,Total enrollment,,,0.00,4.00,16.00,2.00,544.00,16.00,5.00,587.00,62.00,4.00
