Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Towns County,GA,Towns County High School,130507002999,2015,Classroom Teachers,23.53,22.53,,,,,,,,,,
GA,Towns County,GA,Towns County High School,130507002999,2015,Classroom teachers in their first year of teaching,2.25,,,,,,,,,,,
GA,Towns County,GA,Towns County High School,130507002999,2015,Classroom teachers in their second year of teaching,0.33,,,,,,,,,,,
GA,Towns County,GA,Towns County High School,130507002999,2015,Teachers absent more than 10 days of the school year,8.25,,,,,,,,,,,
GA,Towns County,GA,Towns County High School,130507002999,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Towns County,GA,Towns County High School,130507002999,2015,Teachers employed during both the current and previous school year,16.00,,,,,,,,,,,
GA,Towns County,GA,Towns County High School,130507002999,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Towns County,GA,Towns County High School,130507002999,2015,Total enrollment,,,0.00,0.00,0.00,7.00,2.00,319.00,2.00,330.00,29.00,0.00
GA,Towns County,GA,Towns County Middle School,130507002998,2015,Classroom Teachers,19.95,19.95,,,,,,,,,,
GA,Towns County,GA,Towns County Middle School,130507002998,2015,Classroom teachers in their first year of teaching,0.75,,,,,,,,,,,
GA,Towns County,GA,Towns County Middle School,130507002998,2015,Classroom teachers in their second year of teaching,3.67,,,,,,,,,,,
GA,Towns County,GA,Towns County Middle School,130507002998,2015,Teachers absent more than 10 days of the school year,12.40,,,,,,,,,,,
GA,Towns County,GA,Towns County Middle School,130507002998,2015,Teachers employed during current school year,21.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Middle School,130507002998,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Middle School,130507002998,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Middle School,130507002998,2015,Total enrollment,,,0.00,4.00,0.00,7.00,2.00,226.00,4.00,243.00,35.00,0.00
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,Classroom Teachers,34.30,34.30,,,,,,,,,,
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Towns County,GA,Towns County Elementary School,130507002997,2015,Total enrollment,,,4.00,2.00,0.00,28.00,2.00,418.00,4.00,458.00,65.00,19.00

