Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Classroom Teachers,32.00,32.00,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Total enrollment,,,0.00,4.00,0.00,19.00,178.00,295.00,28.00,524.00,44.00,10.00
GA,Troup County,GA,Callaway High School,130000102444,2015,Classroom Teachers,52.71,49.71,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Teachers absent more than 10 days of the school year,12.71,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Total enrollment,,,4.00,22.00,2.00,31.00,370.00,379.00,34.00,842.00,59.00,16.00

